"","RAL","wolb","weight.5.flies","trt","day","PC1","PC2","PC3","Code"
"67","RAL_223","y",1.396,"a","d",2.0514381614,-2.2710798279,5.3069482788,"10DA"
"68","RAL_223","y",1.495833335,"b","d",2.0514381614,-2.2710798279,5.3069482788,"10DB"
"69","RAL_223","y",1.451,"a","d",2.0514381614,-2.2710798279,5.3069482788,"10DA"
"70","RAL_223","y",1.457,"b","d",2.0514381614,-2.2710798279,5.3069482788,"10DB"
"71","RAL_223","y",1.325,"a","d",2.0514381614,-2.2710798279,5.3069482788,"10DA"
"72","RAL_228","n",1.016,"a","a",4.2201820944,-1.0287472701,17.9929751359,"5AA"
"73","RAL_228","n",1.11,"b","a",4.2201820944,-1.0287472701,17.9929751359,"5AB"
"74","RAL_228","n",1.038,"a","a",4.2201820944,-1.0287472701,17.9929751359,"5AA"
"75","RAL_228","n",1.161,"b","a",4.2201820944,-1.0287472701,17.9929751359,"5AB"
"76","RAL_228","n",1.021,"a","a",4.2201820944,-1.0287472701,17.9929751359,"5AA"
"77","RAL_228","n",1.188,"b","a",4.2201820944,-1.0287472701,17.9929751359,"5AB"
"78","RAL_235","y",1.227,"a","b",2.7838806985,-2.1901587615,5.12883166,"27BA"
"79","RAL_235","y",1.309,"b","b",2.7838806985,-2.1901587615,5.12883166,"27BB"
"80","RAL_235","y",1.098,"a","b",2.7838806985,-2.1901587615,5.12883166,"27BA"
"81","RAL_235","y",1.3,"b","b",2.7838806985,-2.1901587615,5.12883166,"27BB"
"82","RAL_235","y",1.096,"a","b",2.7838806985,-2.1901587615,5.12883166,"27BA"
"83","RAL_235","y",1.175,"b","b",2.7838806985,-2.1901587615,5.12883166,"27BB"
"84","RAL_237","y",1.192,"b","e",1.8700110648,-2.3166032848,1.4092720991,"19EB"
"85","RAL_237","y",1.093,"b","e",1.8700110648,-2.3166032848,1.4092720991,"19EB"
"86","RAL_237","y",1.157,"a","e",1.8700110648,-2.3166032848,1.4092720991,"19EA"
"87","RAL_237","y",1.141,"a","e",1.8700110648,-2.3166032848,1.4092720991,"19EA"
"88","RAL_237","y",1.166,"b","e",1.8700110648,-2.3166032848,1.4092720991,"19EB"
"89","RAL_237","y",1.108,"a","e",1.8700110648,-2.3166032848,1.4092720991,"19EA"
"90","RAL_239","n",1.17,"a","a",3.8345012542,-1.7744141422,3.4798694812,"8AA"
"91","RAL_239","n",1.206,"a","a",3.8345012542,-1.7744141422,3.4798694812,"8AA"
"92","RAL_239","n",1.198,"a","a",3.8345012542,-1.7744141422,3.4798694812,"8AA"
"93","RAL_239","n",1.28,"b","a",3.8345012542,-1.7744141422,3.4798694812,"8AB"
"94","RAL_239","n",1.256666665,"b","a",3.8345012542,-1.7744141422,3.4798694812,"8AB"
"95","RAL_239","n",1.274,"b","a",3.8345012542,-1.7744141422,3.4798694812,"8AB"
"96","RAL_26","n",1.126,"a","b",1.6836228414,0.3948215362,7.8317682183,"5BA"
"97","RAL_26","n",1.082,"a","b",1.6836228414,0.3948215362,7.8317682183,"5BA"
"98","RAL_26","n",1.284,"b","b",1.6836228414,0.3948215362,7.8317682183,"5BB"
"99","RAL_26","n",1.217,"b","b",1.6836228414,0.3948215362,7.8317682183,"5BB"
"100","RAL_26","n",1.069,"a","b",1.6836228414,0.3948215362,7.8317682183,"5BA"
"101","RAL_26","n",1.215,"b","b",1.6836228414,0.3948215362,7.8317682183,"5BB"
"102","RAL_28","n",1.214,"b","a",4.2079547047,-2.7684103244,0.1834968007,"22AB"
"103","RAL_28","n",1.245,"b","a",4.2079547047,-2.7684103244,0.1834968007,"22AB"
"104","RAL_28","n",1.208,"a","a",4.2079547047,-2.7684103244,0.1834968007,"22AA"
"105","RAL_28","n",1.257,"a","a",4.2079547047,-2.7684103244,0.1834968007,"22AA"
"106","RAL_28","n",1.313,"b","a",4.2079547047,-2.7684103244,0.1834968007,"22AB"
"107","RAL_28","n",1.21,"a","a",4.2079547047,-2.7684103244,0.1834968007,"22AA"
"108","RAL_280","y",1.287,"b","b",4.621267535,-0.8172958278,5.6998749849,"2BB"
"109","RAL_280","y",1.235,"b","b",4.621267535,-0.8172958278,5.6998749849,"2BB"
"110","RAL_280","y",1.19,"b","b",4.621267535,-0.8172958278,5.6998749849,"2BB"
"111","RAL_303","n",1.236,"b","a",4.5374319595,1.4810393032,-1.7416842119,"34AB"
"112","RAL_303","n",1.276,"b","a",4.5374319595,1.4810393032,-1.7416842119,"34AB"
"113","RAL_303","n",1.314,"b","a",4.5374319595,1.4810393032,-1.7416842119,"34AB"
"114","RAL_304","y",1.39,"a","b",4.8718834103,1.1762920286,-1.0148309627,"8BA"
"115","RAL_304","y",1.336,"a","b",4.8718834103,1.1762920286,-1.0148309627,"8BA"
"116","RAL_304","y",1.385,"a","b",4.8718834103,1.1762920286,-1.0148309627,"8BA"
"117","RAL_306","y",1.602,"b","d",4.5251828682,1.4802207716,-1.718953211,"39DB"
"118","RAL_306","y",1.562,"b","d",4.5251828682,1.4802207716,-1.718953211,"39DB"
"119","RAL_306","y",1.6,"b","d",4.5251828682,1.4802207716,-1.718953211,"39DB"
"120","RAL_309","n",1.22,"b","d",0.3343129916,-1.0795967586,1.471627297,"21DB"
"121","RAL_309","n",1.221,"a","d",0.3343129916,-1.0795967586,1.471627297,"21DA"
"122","RAL_309","n",1.222,"a","d",0.3343129916,-1.0795967586,1.471627297,"21DA"
"123","RAL_309","n",1.229,"a","d",0.3343129916,-1.0795967586,1.471627297,"21DA"
"124","RAL_309","n",1.275,"b","d",0.3343129916,-1.0795967586,1.471627297,"21DB"
"125","RAL_309","n",1.236,"b","d",0.3343129916,-1.0795967586,1.471627297,"21DB"
"126","RAL_315","n",1.055,"a","b",4.5878523977,-0.9172266966,6.3584233478,"35BA"
"127","RAL_315","n",1.114,"a","b",4.5878523977,-0.9172266966,6.3584233478,"35BA"
"128","RAL_317","y",0.96,"a","b",-2.3677142077,-5.6384500733,0.7138318599,"21BA"
"129","RAL_317","y",1.004,"a","b",-2.3677142077,-5.6384500733,0.7138318599,"21BA"
"130","RAL_317","y",0.932,"a","b",-2.3677142077,-5.6384500733,0.7138318599,"21BA"
"131","RAL_318","y",1.323,"b","d",-0.918998435,-6.7700442757,0.857450393,"15DB"
"132","RAL_318","y",1.407,"b","d",-0.918998435,-6.7700442757,0.857450393,"15DB"
"133","RAL_318","y",1.159,"a","d",-0.918998435,-6.7700442757,0.857450393,"15DA"
"134","RAL_318","y",1.374,"b","d",-0.918998435,-6.7700442757,0.857450393,"15DB"
"135","RAL_318","y",1.125,"a","d",-0.918998435,-6.7700442757,0.857450393,"15DA"
"136","RAL_318","y",1.176,"a","d",-0.918998435,-6.7700442757,0.857450393,"15DA"
"137","RAL_319","y",1.234,"a","e",1.8646065893,-1.2539165003,2.1576523465,"4EA"
"138","RAL_319","y",1.205,"a","e",1.8646065893,-1.2539165003,2.1576523465,"4EA"
"139","RAL_319","y",1.209,"a","e",1.8646065893,-1.2539165003,2.1576523465,"4EA"
"140","RAL_319","y",1.35625,"b","e",1.8646065893,-1.2539165003,2.1576523465,"4EB"
"143","RAL_321","y",1.232,"b","e",1.3272133903,3.9365495341,-2.9141323441,"21EB"
"145","RAL_321","y",1.168,"b","e",1.3272133903,3.9365495341,-2.9141323441,"21EB"
"146","RAL_321","y",1.212,"b","e",1.3272133903,3.9365495341,-2.9141323441,"21EB"
"147","RAL_338","y",1.207,"a","c",4.1066589317,-0.8779079235,2.5747077763,"36CA"
"148","RAL_338","y",1.384,"a","c",4.1066589317,-0.8779079235,2.5747077763,"36CA"
"149","RAL_338","y",1.451,"b","c",4.1066589317,-0.8779079235,2.5747077763,"36CB"
"150","RAL_338","y",1.347,"a","c",4.1066589317,-0.8779079235,2.5747077763,"36CA"
"151","RAL_338","y",1.334,"b","c",4.1066589317,-0.8779079235,2.5747077763,"36CB"
"152","RAL_338","y",1.473,"b","c",4.1066589317,-0.8779079235,2.5747077763,"36CB"
"153","RAL_340","y",1.308,"a","b",3.6550925603,-3.7272000484,4.2080735878,"10BA"
"154","RAL_340","y",1.355,"b","b",3.6550925603,-3.7272000484,4.2080735878,"10BB"
"155","RAL_340","y",1.428,"b","b",3.6550925603,-3.7272000484,4.2080735878,"10BB"
"156","RAL_340","y",1.231,"a","b",3.6550925603,-3.7272000484,4.2080735878,"10BA"
"157","RAL_340","y",1.332,"b","b",3.6550925603,-3.7272000484,4.2080735878,"10BB"
"158","RAL_340","y",1.236,"a","b",3.6550925603,-3.7272000484,4.2080735878,"10BA"
"159","RAL_350","n",1.135,"b","e",3.5729465471,14.1621230957,-11.2114729563,"5EB"
"160","RAL_350","n",0.993,"a","e",3.5729465471,14.1621230957,-11.2114729563,"5EA"
"161","RAL_350","n",1.031,"a","e",3.5729465471,14.1621230957,-11.2114729563,"5EA"
"162","RAL_350","n",1.1,"a","e",3.5729465471,14.1621230957,-11.2114729563,"5EA"
"163","RAL_350","n",1.094,"b","e",3.5729465471,14.1621230957,-11.2114729563,"5EB"
"164","RAL_350","n",1.143,"b","e",3.5729465471,14.1621230957,-11.2114729563,"5EB"
