dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
149,L,1,20,12,,,8,0.6,8,4
149,L,2,20,14,,,6,0.7,6,8
149,L,3,20,5,,,15,0.25,2,3
149,L,4,20,8,,,12,0.4,0,8
149,L,5,20,4,,,16,0.2,3,1
208,L,1,20,12,,,8,0.6,7,5
208,L,2,20,8,,,12,0.4,5,3
208,L,3,20,11,,,9,0.55,6,5
208,L,4,20,6,,,14,0.3,3,3
208,L,5,20,7,,,13,0.35,4,3
301,L,1,20,11,,,9,0.55,7,4
301,L,2,20,13,,,7,0.65,7,6
301,L,3,20,15,,,5,0.75,11,4
301,L,4,20,12,,,8,0.6,7,5
301,L,5,20,13,,,7,0.65,9,4
303,L,1,20,14,,,6,0.7,5,9
303,L,2,20,15,,,5,0.75,8,7
303,L,3,20,18,,,2,0.9,8,10
303,L,4,20,16,,,4,0.8,8,8
303,L,5,20,15,,,5,0.75,9,6
304,L,1,20,10,,,10,0.5,6,4
304,L,2,20,9,,,11,0.45,3,6
304,L,3,20,9,,,11,0.45,5,4
304,L,4,20,8,,,12,0.4,4,4
304,L,5,20,13,,,7,0.65,7,6
307,L,1,20,2,,,18,0.1,0,2
307,L,2,20,2,,,18,0.1,1,1
307,L,3,20,2,,,18,0.1,1,1
307,L,4,20,7,,,13,0.35,3,4
307,L,5,20,7,,,13,0.35,4,3
313,L,1,15,8,,,7,0.533333333,6,2
313,L,2,9,7,,,2,0.777777778,6,1
313,L,3,5,1,,,4,0.2,1,0
313,L,4,18,10,,,8,0.555555556,8,2
313,L,5,13,7,,,6,0.538461538,3,4
315,L,1,20,8,,,12,0.4,4,4
315,L,2,5,3,,,2,0.6,3,0
315,L,3,19,14,,,5,0.736842105,7,7
315,L,4,20,13,,,7,0.65,6,7
315,L,5,20,14,,,6,0.7,6,8
335,L,1,11,8,,,3,0.727272727,4,4
335,L,2,20,4,,,16,0.2,1,3
335,L,3,20,3,,,17,0.15,1,2
335,L,4,20,5,,,15,0.25,3,2
335,L,5,20,7,,,13,0.35,3,4
356,L,1,20,8,,,12,0.4,5,3
356,L,2,20,11,,,9,0.55,6,5
356,L,3,20,5,,,15,0.25,2,3
356,L,4,20,12,,,8,0.6,6,6
356,L,5,20,13,,,7,0.65,7,6
357,L,1,20,10,,,10,0.5,5,5
357,L,2,20,13,,,7,0.65,8,5
357,L,3,20,11,,,9,0.55,5,6
357,L,4,20,11,,,9,0.55,7,4
357,L,5,20,11,,,9,0.55,5,6
358,L,1,20,9,,,11,0.45,4,5
358,L,2,20,9,,,11,0.45,4,5
358,L,3,20,4,,,16,0.2,1,3
358,L,4,20,9,,,11,0.45,5,4
358,L,5,20,9,,,11,0.45,5,4
359,L,2,20,6,,,14,0.3,3,3
360,L,1,20,14,,,6,0.7,7,7
360,L,2,20,14,,,6,0.7,6,8
360,L,3,20,9,,,11,0.45,5,4
360,L,4,20,13,,,7,0.65,7,6
360,L,5,20,9,,,11,0.45,6,3
362,L,1,3,2,,,1,0.666666667,2,0
362,L,2,20,12,,,8,0.6,8,4
362,L,3,20,12,,,8,0.6,7,5
362,L,4,20,12,,,8,0.6,6,6
362,L,5,20,15,,,5,0.75,9,6
365,L,1,20,12,,,8,0.6,8,4
365,L,2,20,6,,,14,0.3,3,3
365,L,3,20,9,,,11,0.45,5,4
365,L,4,20,13,,,7,0.65,6,7
365,L,5,20,11,,,9,0.55,6,5
375,L,1,10,3,,,7,0.3,3,0
375,L,3,20,3,,,17,0.15,2,1
375,L,4,20,3,,,17,0.15,1,2
375,L,5,20,7,,,13,0.35,4,3
380,L,1,20,1,,,19,0.05,1,0
380,L,2,20,0,,,20,0,0,0
380,L,3,20,5,,,15,0.25,3,2
380,L,4,20,5,,,15,0.25,2,3
380,L,5,20,2,,,18,0.1,1,1
391,L,1,20,11,,,9,0.55,6,5
391,L,2,20,10,,,10,0.5,7,3
391,L,4,20,7,,,13,0.35,4,3
391,L,5,20,13,,,7,0.65,7,6
399,L,1,20,6,,,14,0.3,5,1
399,L,2,20,9,,,11,0.45,3,6
399,L,3,20,11,,,9,0.55,5,6
399,L,4,20,14,,,6,0.7,7,7
399,L,5,20,10,,,10,0.5,6,4
427,L,1,20,10,,,10,0.5,6,4
427,L,2,20,10,,,10,0.5,6,4
427,L,3,20,10,,,10,0.5,5,5
427,L,4,20,8,,,12,0.4,4,4
427,L,5,20,5,,,15,0.25,3,2
437,L,1,20,13,,,7,0.65,7,6
437,L,2,20,11,,,9,0.55,7,4
437,L,3,20,6,,,14,0.3,3,3
437,L,4,20,8,,,12,0.4,4,4
437,L,5,20,10,,,10,0.5,5,5
441,L,1,20,16,,,4,0.8,10,6
441,L,2,20,12,,,8,0.6,5,7
441,L,3,20,16,,,4,0.8,8,8
441,L,4,20,13,,,7,0.65,4,9
441,L,5,20,9,,,11,0.45,6,3
486,L,1,20,2,,,18,0.1,2,0
486,L,2,20,8,,,12,0.4,6,2
486,L,3,20,1,,,19,0.05,1,0
486,L,4,20,6,,,14,0.3,4,2
486,L,5,20,11,,,9,0.55,9,2
517,L,1,15,9,,,6,0.6,4,5
517,L,2,20,14,,,6,0.7,9,5
517,L,3,20,11,,,9,0.55,4,7
517,L,4,20,8,,,12,0.4,5,3
517,L,5,20,5,,,15,0.25,3,2
555,L,1,20,10,,,10,0.5,7,3
555,L,2,20,13,,,7,0.65,8,5
555,L,3,20,8,,,12,0.4,4,4
555,L,4,20,15,,,5,0.75,7,8
555,L,5,20,10,,,10,0.5,5,5
705,L,1,20,13,,,7,0.65,8,5
705,L,2,20,13,,,7,0.65,7,6
705,L,3,20,16,,,4,0.8,6,10
705,L,4,20,15,,,5,0.75,7,8
705,L,5,20,13,,,7,0.65,6,7
707,L,1,20,14,,,6,0.7,7,7
707,L,2,20,12,,,8,0.6,6,6
707,L,3,20,15,,,5,0.75,7,8
707,L,4,20,16,,,4,0.8,8,8
707,L,5,20,13,,,7,0.65,7,6
712,L,1,20,11,,,9,0.55,8,3
712,L,2,20,14,,,6,0.7,7,7
712,L,3,20,12,,,8,0.6,6,6
712,L,4,20,12,,,8,0.6,6,6
712,L,5,20,10,,,10,0.5,8,2
714,L,1,13,4,,,9,0.307692308,2,2
714,L,2,20,7,,,13,0.35,4,3
714,L,3,16,8,,,8,0.5,4,4
714,L,4,20,10,,,10,0.5,5,5
714,L,5,20,6,,,14,0.3,4,2
730,L,1,4,1,,,3,0.25,1,0
730,L,2,20,1,,,19,0.05,1,0
730,L,3,8,1,,,7,0.125,1,0
730,L,4,9,1,,,8,0.111111111,1,0
730,L,5,2,0,,,2,0,0,0
732,L,1,14,4,,,10,0.285714286,2,2
732,L,2,20,12,,,8,0.6,7,5
732,L,3,20,13,,,7,0.65,6,7
732,L,4,20,12,,,8,0.6,8,4
732,L,5,20,4,,,16,0.2,2,2
786,L,2,13,3,,,10,0.230769231,2,1
786,L,3,20,6,,,14,0.3,3,3
786,L,4,20,10,,,10,0.5,4,6
786,L,5,20,11,,,9,0.55,5,6
799,L,1,20,3,,,17,0.15,2,1
799,L,2,20,5,,,15,0.25,3,2
799,L,3,20,9,,,11,0.45,4,5
799,L,4,20,14,,,6,0.7,9,5
799,L,5,20,6,,,14,0.3,3,3
820,L,1,20,15,,,5,0.75,7,8
820,L,2,20,13,,,7,0.65,8,5
820,L,3,20,14,,,6,0.7,7,7
820,L,4,20,14,,,6,0.7,7,7
820,L,5,20,18,,,2,0.9,8,10
832,L,1,20,14,,,6,0.7,5,9
832,L,2,20,10,,,10,0.5,6,4
832,L,3,20,13,,,7,0.65,6,7
832,L,4,20,13,,,7,0.65,8,5
832,L,5,20,13,,,7,0.65,7,6
852,L,1,20,9,,,11,0.45,4,5
852,L,2,5,4,,,1,0.8,2,2
852,L,3,13,6,,,7,0.461538462,3,3
852,L,4,12,6,,,6,0.5,4,2
852,L,5,11,2,,,9,0.181818182,1,1
859,L,1,10,1,,,9,0.1,1,0
859,L,2,20,7,,,13,0.35,5,2
859,L,3,20,12,,,8,0.6,5,7
859,L,4,20,7,,,13,0.35,4,3
859,L,5,20,10,,,10,0.5,2,8
908,L,1,1,0,,,1,0,0,0
908,L,3,4,4,,,0,1,2,2
908,L,4,17,16,,,1,0.941176471,6,10
908,L,5,4,2,,,2,0.5,1,1
913,L,1,20,11,,,9,0.55,6,5
913,L,2,20,14,,,6,0.7,7,7
913,L,3,20,11,,,9,0.55,5,6
913,L,4,20,17,,,3,0.85,9,8
913,L,5,20,17,,,3,0.85,8,9
149,A,1,16,15,9,7,1,0.9375,9,6
149,A,2,14,13,4,10,1,0.928571429,4,9
149,A,3,17,16,8,9,1,0.941176471,8,8
149,A,4,11,11,2,9,0,1,2,9
149,A,5,18,18,9,9,0,1,9,9
208,A,1,19,19,10,9,0,1,10,9
208,A,2,16,15,6,10,1,0.9375,6,9
208,A,3,19,19,10,9,0,1,10,9
