line,Trait,trait_value
437,mitochondrial.state.4.respiration.f,258.424861497148
486,mitochondrial.state.4.respiration.f,257.84700090586597
514,mitochondrial.state.4.respiration.f,242.1019405770468
517,mitochondrial.state.4.respiration.f,219.19448624304493
555,mitochondrial.state.4.respiration.f,240.77212800212692
639,mitochondrial.state.4.respiration.f,235.1869065635868
705,mitochondrial.state.4.respiration.f,277.2736051957221
707,mitochondrial.state.4.respiration.f,264.15230981225045
712,mitochondrial.state.4.respiration.f,248.0070102627914
714,mitochondrial.state.4.respiration.f,245.69368531543955
730,mitochondrial.state.4.respiration.f,225.24946026211433
732,mitochondrial.state.4.respiration.f,226.73068830290688
765,mitochondrial.state.4.respiration.f,268.59900409537056
774,mitochondrial.state.4.respiration.f,222.98159603485618
786,mitochondrial.state.4.respiration.f,242.40381154794798
799,mitochondrial.state.4.respiration.f,268.66287418371996
820,mitochondrial.state.4.respiration.f,207.96644346458265
852,mitochondrial.state.4.respiration.f,258.4977182898516
859,mitochondrial.state.4.respiration.f,275.1385096503245
208,mitochondrial.state.4.respiration.m,223.61632627682943
301,mitochondrial.state.4.respiration.m,232.2904667015153
303,mitochondrial.state.4.respiration.m,216.36034302168338
304,mitochondrial.state.4.respiration.m,271.8826767635526
306,mitochondrial.state.4.respiration.m,194.2089502092457
307,mitochondrial.state.4.respiration.m,226.55530003765926
313,mitochondrial.state.4.respiration.m,216.91298306103866
315,mitochondrial.state.4.respiration.m,241.54777675534132
324,mitochondrial.state.4.respiration.m,228.45520784855267
335,mitochondrial.state.4.respiration.m,244.4178737375509
357,mitochondrial.state.4.respiration.m,246.3425781692361
358,mitochondrial.state.4.respiration.m,201.37111200051638
360,mitochondrial.state.4.respiration.m,210.9715011406993
362,mitochondrial.state.4.respiration.m,262.7059704072358
365,mitochondrial.state.4.respiration.m,255.35150726351952
375,mitochondrial.state.4.respiration.m,224.53292927606162
379,mitochondrial.state.4.respiration.m,268.10412498205756
380,mitochondrial.state.4.respiration.m,207.33991377513675
391,mitochondrial.state.4.respiration.m,249.559164835755
399,mitochondrial.state.4.respiration.m,210.65811777159746
427,mitochondrial.state.4.respiration.m,174.5949979110133
437,mitochondrial.state.4.respiration.m,231.63598654829636
486,mitochondrial.state.4.respiration.m,236.44926932875757
514,mitochondrial.state.4.respiration.m,220.7510307248269
517,mitochondrial.state.4.respiration.m,193.64100711118172
555,mitochondrial.state.4.respiration.m,216.944327564384
639,mitochondrial.state.4.respiration.m,208.16644657220388
705,mitochondrial.state.4.respiration.m,254.8428486366828
707,mitochondrial.state.4.respiration.m,242.64787378879726
712,mitochondrial.state.4.respiration.m,221.78706417820752
714,mitochondrial.state.4.respiration.m,223.23939354612585
730,mitochondrial.state.4.respiration.m,201.80522088209767
732,mitochondrial.state.4.respiration.m,201.02004623756528
765,mitochondrial.state.4.respiration.m,239.12665436634018
774,mitochondrial.state.4.respiration.m,200.13756415306457
786,mitochondrial.state.4.respiration.m,218.5602306486866
799,mitochondrial.state.4.respiration.m,248.54317546656375
820,mitochondrial.state.4.respiration.m,180.023426952987
852,mitochondrial.state.4.respiration.m,230.65836535916208
859,mitochondrial.state.4.respiration.m,251.3500454495262
208,mitochondrial.PO.ratio.f,2.6445367474802457
301,mitochondrial.PO.ratio.f,2.5690953328356496
303,mitochondrial.PO.ratio.f,2.571838748097428
304,mitochondrial.PO.ratio.f,2.5291273140640342
306,mitochondrial.PO.ratio.f,2.635459155490608
307,mitochondrial.PO.ratio.f,2.7686683586874543
313,mitochondrial.PO.ratio.f,2.718414628914055
315,mitochondrial.PO.ratio.f,2.396542803559481
324,mitochondrial.PO.ratio.f,2.6439842082116978
335,mitochondrial.PO.ratio.f,2.7068459271439935
357,mitochondrial.PO.ratio.f,2.7064441122955625
358,mitochondrial.PO.ratio.f,2.62292308893103
360,mitochondrial.PO.ratio.f,2.6764580876840447
362,mitochondrial.PO.ratio.f,2.618904190168768
365,mitochondrial.PO.ratio.f,2.455994486483758
375,mitochondrial.PO.ratio.f,2.6536742089712937
379,mitochondrial.PO.ratio.f,2.5269446057881253
380,mitochondrial.PO.ratio.f,2.504777456449
391,mitochondrial.PO.ratio.f,2.5241334138407328
399,mitochondrial.PO.ratio.f,2.7482375165154567
427,mitochondrial.PO.ratio.f,2.5687342594146756
437,mitochondrial.PO.ratio.f,2.6403187316695216
486,mitochondrial.PO.ratio.f,2.7031201232567206
