Genotype,date,learning,observer,PreEA,PreC,PostEA,PostC,pre_tot,post_tot,learning.score
228/,5/15/13,L,AR,18,32,15,22,50,37,-0.045405405
228/,5/1/13,S,KA,33,9,17,26,42,43,0.390365449
228/,5/7/13,S,MB,21,20,17,12,41,29,-0.074011775
228/,5/15/13,S,AR,24,16,20,3,40,23,-0.269565217
229/,1/28/14,L,GM,25,21,30,16,46,46,-0.108695652
229/,7/2/14,L,AS,30,11,16,13,41,29,0.179983179
229/,7/9/14,L,AS,12,17,6,12,29,18,0.08045977
229/,1/28/14,S,GM,29,20,8,22,49,30,0.325170068
229/,2/21/14,S,EN,34,8,12,7,42,19,0.177944862
229/,2/28/14,S,AN,35,11,23,19,46,42,0.213250518
233/,11/18/13,L,MK,29,8,15,17,37,32,0.315033784
233/,1/29/14,L,JG,29,14,13,5,43,18,-0.047803618
233/,7/9/14,L,AS,25,20,17,8,45,25,-0.124444444
233/,1/29/14,S,JG,31,10,20,12,41,32,0.131097561
233/,2/17/14,S,JG,18,19,19,16,37,35,-0.056370656
233/,7/9/14,S,AS,25,16,7,12,41,19,0.241335045
235/,2/20/13,L,KA,23,17,10,15,40,25,0.175
235/,5/27/13,L,AR,23,9,21,15,32,36,0.135416667
235/,6/4/13,L,MK,25,16,13,13,41,26,0.109756098
235/,11/13/12,S,NG,26,12,16,17,38,33,0.199362041
235/,5/17/13,S,EN,29,9,21,15,38,36,0.179824561
235/,5/27/13,S,AR,35,10,24,10,45,34,0.071895425
237/,10/18/12,L,NG,24,14,21,19,38,40,0.106578947
237/,11/29/12,L,SL,23,11,7,20,34,27,0.417211329
237/,4/17/13,L,AR,28,8,15,10,36,25,0.177777778
237/,4/30/13,L,MB,40,8,17,19,48,36,0.361111111
237/,9/18/12,S,NG,31,11,15,18,42,33,0.283549784
237/,10/18/12,S,NG,22,21,8,23,43,31,0.253563391
237/,4/17/13,S,AR,24,17,23,12,41,35,-0.071777003
237/,4/30/13,S,MB,48,2,13,20,50,33,0.566060606
256/,8/21/13,L,EN,32,13,19,25,45,44,0.279292929
256/,9/5/13,L,AR,31,11,24,12,42,36,0.071428571
256/,8/16/13,S,JG,27,11,6,8,38,14,0.281954887
256/,9/5/13,S,AR,32,13,16,9,45,25,0.071111111
256/,9/13/13,S,DG,23,14,9,10,37,19,0.147937411
256/,9/13/13,L,DG,21,11,10,11,32,21,0.180059524
272/,11/30/12,L,EN,21,17,9,15,38,24,0.177631579
272/,6/17/13,L,SL,23,14,13,20,37,33,0.227682228
272/,6/26/13,L,MK,28,14,15,18,42,33,0.212121212
272/,11/30/12,S,EN,22,20,12,13,42,25,0.043809524
272/,6/17/13,S,SL,28,13,10,12,41,22,0.228381375
272/,7/4/13,S,JG,26,14,10,15,40,25,0.25
280/,8/15/13,L,JG,29,18,12,27,47,39,0.309328969
280/,8/30/13,L,JG,33,9,7,22,42,29,0.544334975
280/,9/4/13,L,JG,18,17,20,20,35,40,0.014285714
280/,8/15/13,S,JG,29,18,21,25,47,46,0.160499537
280/,8/30/13,S,JG,25,15,17,10,40,27,-0.00462963
280/,9/9/13,S,MK,31,15,23,18,46,41,0.112937434
287/,3/13/13,L,KA,14,25,5,11,39,16,0.046474359
287/,5/24/13,L,JG,28,17,24,17,45,41,0.036856369
