Line (DGRP),Line (BDSC),Temp,Live,Dead,Total,Proportion survived
705,25744,-4,5,15,20,0.25
705,25744,-5,14,6,20,0.7
705,25744,-5,7,12,19,0.368421053
705,25744,-5,2,18,20,0.1
705,25744,-5,1,18,19,0.052631579
705,25744,-6,0,19,19,0
705,25744,-6,0,19,19,0
705,25744,-6,0,19,19,0
705,25744,-6,0,20,20,0
705,25744,-7,0,19,19,0
705,25744,-7,0,20,20,0
705,25744,-7,0,20,20,0
705,25744,-7,0,17,17,0
714,25745,-1,11,9,20,0.55
714,25745,-1,16,4,20,0.8
714,25745,-1,14,6,20,0.7
714,25745,-1,12,8,20,0.6
714,25745,-2,11,9,20,0.55
714,25745,-2,11,9,20,0.55
714,25745,-2,20,0,20,1
714,25745,-2,9,11,20,0.45
714,25745,-3,6,14,20,0.3
714,25745,-3,16,4,20,0.8
714,25745,-3,18,2,20,0.9
714,25745,-3,7,13,20,0.35
714,25745,-4,5,14,19,0.263157895
714,25745,-4,11,9,20,0.55
714,25745,-4,19,1,20,0.95
714,25745,-4,4,16,20,0.2
714,25745,-5,4,15,19,0.210526316
714,25745,-5,6,14,20,0.3
714,25745,-5,6,14,20,0.3
714,25745,-5,2,18,20,0.1
714,25745,-6,0,20,20,0
714,25745,-6,0,20,20,0
714,25745,-6,0,20,20,0
714,25745,-6,0,20,20,0
714,25745,-7,0,20,20,0
714,25745,-7,0,20,20,0
714,25745,-7,0,19,19,0
714,25745,-7,0,20,20,0
304,25177,-1,14,0,14,1
304,25177,-1,20,0,20,1
304,25177,-1,18,0,18,1
304,25177,-1,20,0,20,1
304,25177,-2,16,1,17,0.941176471
304,25177,-2,20,0,20,1
304,25177,-2,17,1,18,0.944444444
304,25177,-2,16,2,18,0.888888889
304,25177,-3,14,3,17,0.823529412
304,25177,-3,15,2,17,0.882352941
304,25177,-3,13,5,18,0.722222222
304,25177,-3,14,3,17,0.823529412
304,25177,-4,11,3,14,0.785714286
304,25177,-4,14,3,17,0.823529412
304,25177,-4,16,1,17,0.941176471
304,25177,-4,15,3,18,0.833333333
304,25177,-5,15,6,21,0.714285714
304,25177,-5,14,4,18,0.777777778
304,25177,-5,17,3,20,0.85
304,25177,-5,15,1,16,0.9375
304,25177,-6,11,5,16,0.6875
304,25177,-6,4,16,20,0.2
304,25177,-6,1,18,19,0.052631579
304,25177,-6,11,9,20,0.55
304,25177,-7,0,15,15,0
304,25177,-7,0,19,19,0
304,25177,-7,0,18,18,0
304,25177,-7,0,15,15,0
307,25179,-1,12,7,19,0.631578947
307,25179,-1,15,5,20,0.75
307,25179,-1,13,7,20,0.65
307,25179,-1,12,8,20,0.6
307,25179,-2,15,5,20,0.75
307,25179,-2,11,9,20,0.55
307,25179,-2,7,13,20,0.35
307,25179,-2,10,10,20,0.5
307,25179,-3,15,5,20,0.75
307,25179,-3,10,9,19,0.526315789
307,25179,-3,11,9,20,0.55
307,25179,-3,14,5,19,0.736842105
307,25179,-4,8,12,20,0.4
307,25179,-4,7,7,14,0.5
307,25179,-4,12,8,20,0.6
307,25179,-4,14,4,18,0.777777778
307,25179,-5,10,9,19,0.526315789
307,25179,-5,8,11,19,0.421052632
307,25179,-5,10,10,20,0.5
307,25179,-5,11,9,20,0.55
307,25179,-6,8,12,20,0.4
307,25179,-6,0,20,20,0
307,25179,-6,0,20,20,0
307,25179,-6,0,20,20,0
307,25179,-7,0,19,19,0
307,25179,-7,0,14,14,0
307,25179,-7,0,20,20,0
307,25179,-7,0,20,20,0
313,25180,-1,4,16,20,0.2
313,25180,-1,9,5,14,0.642857143
313,25180,-1,3,17,20,0.15
313,25180,-1,4,14,18,0.222222222
313,25180,-2,0,20,20,0
313,25180,-2,4,10,14,0.285714286
313,25180,-2,4,16,20,0.2
313,25180,-2,3,13,16,0.1875
313,25180,-3,0,20,20,0
313,25180,-3,1,13,14,0.071428571
313,25180,-3,1,19,20,0.05
313,25180,-3,4,14,18,0.222222222
313,25180,-4,1,19,20,0.05
313,25180,-4,2,12,14,0.142857143
313,25180,-4,4,16,20,0.2
313,25180,-4,2,15,17,0.117647059
313,25180,-5,0,21,21,0
313,25180,-5,0,20,20,0
313,25180,-5,1,18,19,0.052631579
313,25180,-5,0,18,18,0
313,25180,-6,1,19,20,0.05
313,25180,-6,2,17,19,0.105263158
313,25180,-6,0,19,19,0
313,25180,-6,0,18,18,0
313,25180,-7,0,20,20,0
313,25180,-7,0,18,18,0
313,25180,-7,0,15,15,0
315,25181,-1,17,2,19,0.894736842
315,25181,-1,11,3,14,0.785714286
315,25181,-1,15,5,20,0.75
315,25181,-1,17,3,20,0.85
315,25181,-2,14,5,19,0.736842105
315,25181,-2,10,4,14,0.714285714
315,25181,-2,10,10,20,0.5
315,25181,-2,14,5,19,0.736842105
315,25181,-3,6,11,17,0.352941176
315,25181,-3,11,3,14,0.785714286
315,25181,-3,17,2,19,0.894736842
315,25181,-3,14,4,18,0.777777778
315,25181,-4,6,10,16,0.375
315,25181,-4,5,10,15,0.333333333
315,25181,-4,7,12,19,0.368421053
315,25181,-4,10,5,15,0.666666667
315,25181,-5,6,11,17,0.352941176
315,25181,-5,4,10,14,0.285714286
315,25181,-5,3,16,19,0.157894737
315,25181,-5,4,14,18,0.222222222
315,25181,-6,0,16,16,0
315,25181,-6,0,14,14,0
315,25181,-6,0,20,20,0
315,25181,-6,0,16,16,0
315,25181,-7,0,15,15,0
315,25181,-7,0,14,14,0
315,25181,-7,0,20,20,0
315,25181,-7,0,16,16,0
324,25182,-1,20,0,20,1
324,25182,-1,20,0,20,1
324,25182,-1,19,1,20,0.95
324,25182,-1,15,0,15,1
324,25182,-2,17,0,17,1
324,25182,-2,20,0,20,1
324,25182,-2,20,0,20,1
324,25182,-2,18,0,18,1
324,25182,-3,14,0,14,1
324,25182,-3,20,0,20,1
324,25182,-3,19,1,20,0.95
324,25182,-3,17,0,17,1
324,25182,-4,14,1,15,0.933333333
324,25182,-4,18,0,18,1
324,25182,-4,19,1,20,0.95
324,25182,-4,17,1,18,0.944444444
324,25182,-5,15,1,16,0.9375
324,25182,-5,17,1,18,0.944444444
324,25182,-5,19,1,20,0.95
324,25182,-5,16,4,20,0.8
324,25182,-6,6,9,15,0.4
324,25182,-6,6,14,20,0.3
324,25182,-6,9,11,20,0.45
324,25182,-6,10,10,20,0.5
324,25182,-7,0,13,13,0
324,25182,-7,0,17,17,0
324,25182,-7,0,20,20,0
324,25182,-7,0,20,20,0
357,25184,-1,19,0,19,1
357,25184,-1,18,2,20,0.9
357,25184,-1,19,0,19,1
357,25184,-1,19,0,19,1
357,25184,-2,20,0,20,1
357,25184,-2,14,6,20,0.7
357,25184,-2,20,0,20,1
357,25184,-2,17,1,18,0.944444444
357,25184,-3,17,3,20,0.85
357,25184,-3,17,3,20,0.85
357,25184,-3,16,3,19,0.842105263
357,25184,-3,17,3,20,0.85
357,25184,-4,18,0,18,1
357,25184,-4,17,3,20,0.85
357,25184,-4,20,0,20,1
357,25184,-4,17,2,19,0.894736842
357,25184,-5,12,6,18,0.666666667
357,25184,-5,16,4,20,0.8
357,25184,-5,14,6,20,0.7
357,25184,-5,17,2,19,0.894736842
357,25184,-6,4,15,19,0.210526316
357,25184,-6,3,16,19,0.157894737
357,25184,-6,4,15,19,0.210526316
357,25184,-6,9,10,19,0.473684211
357,25184,-7,0,18,18,0
357,25184,-7,0,20,20,0
357,25184,-7,0,20,20,0
357,25184,-7,0,19,19,0
