line,Sex,rep,Proportion_alive
360,Female,2,0.7
360,Female,3,0.2
360,Female,4,0
360,Female,5,0.4
362,Female,1,0.7
362,Female,2,0.3
362,Female,3,0.8
362,Female,4,0.33333333
362,Female,5,0.7
365,Female,1,0.3
365,Female,2,0.44444444
365,Female,3,0.44444444
365,Female,4,0.33333333
365,Female,5,0.4
370,Female,1,0.9
370,Female,2,0.625
370,Female,3,0.875
370,Female,4,0.75
370,Female,5,1
371,Female,1,0.8
371,Female,2,1
371,Female,3,1
371,Female,4,0.66666667
371,Female,5,0.9
375,Female,1,0.8
375,Female,2,0.9
375,Female,3,0.55555556
375,Female,4,0.1
375,Female,5,1
379,Female,1,1
379,Female,2,0.55555556
379,Female,3,0.5
379,Female,4,0.625
379,Female,5,0.85714286
380,Female,1,1
380,Female,2,1
380,Female,3,0.88888889
380,Female,4,1
380,Female,5,0.9
386,Female,1,1
386,Female,2,1
386,Female,3,1
386,Female,4,0.88888889
391,Female,1,0.28571429
391,Female,2,0.8
391,Female,3,0.42857143
391,Female,4,0.875
392,Female,1,0.7
392,Female,2,0.16666667
392,Female,3,0.4
392,Female,4,0.4
392,Female,5,0.8
399,Female,1,1
399,Female,2,1
399,Female,3,1
399,Female,4,1
399,Female,5,1
405,Female,1,1
405,Female,2,1
405,Female,3,1
405,Female,4,1
405,Female,5,1
406,Female,1,0.7
406,Female,2,1
406,Female,3,1
406,Female,4,0.7
406,Female,5,0.66666667
409,Female,1,0.88888889
409,Female,2,1
409,Female,3,0.77777778
409,Female,4,1
409,Female,5,1
426,Female,1,0.3
426,Female,2,0.16666667
426,Female,3,0.33333333
426,Female,4,0.4
426,Female,5,0.5
427,Female,1,0.8
427,Female,2,0.85714286
427,Female,3,1
427,Female,4,1
427,Female,5,0.85714286
437,Female,1,0.9
437,Female,2,0.66666667
437,Female,3,1
437,Female,4,0.75
439,Female,1,0.9
439,Female,2,0.77777778
439,Female,3,0.88888889
439,Female,4,0.55555556
439,Female,5,1
440,Female,1,1
440,Female,2,1
440,Female,3,1
440,Female,4,0.7
440,Female,5,1
441,Female,1,0.2
441,Female,2,0.77777778
441,Female,3,0.1
441,Female,4,0.3
441,Female,5,0
443,Female,1,0.88888889
443,Female,2,0.125
443,Female,3,0.63636364
443,Female,4,0.88888889
443,Female,5,0.4
461,Female,1,0.7
461,Female,2,0.875
461,Female,3,0.55555556
461,Female,4,1
461,Female,5,1
486,Female,1,0.9
486,Female,2,1
486,Female,3,1
486,Female,4,1
491,Female,1,0.88888889
491,Female,2,0.57142857
491,Female,3,0.55555556
491,Female,4,0.4
491,Female,5,1
492,Female,1,0.55555556
492,Female,2,0.66666667
492,Female,3,0.33333333
492,Female,4,0.4
502,Female,1,0.3
502,Female,2,0
502,Female,3,0.11111111
502,Female,4,0.1
502,Female,5,0.4
509,Female,1,0.875
509,Female,2,0.875
509,Female,3,0.66666667
509,Female,4,0.66666667
513,Female,1,1
513,Female,2,1
513,Female,3,1
513,Female,4,1
517,Female,1,1
517,Female,2,0.85714286
517,Female,3,0.66666667
517,Female,4,0.8
530,Female,1,0.44444444
530,Female,2,0.7
530,Female,3,0.7
530,Female,4,0.6
530,Female,5,0.8
531,Female,1,0.4
531,Female,2,0.6
535,Female,1,1
535,Female,2,1
535,Female,3,1
535,Female,4,1
535,Female,5,1
555,Female,1,0.5
555,Female,2,0.66666667
555,Female,3,0.33333333
555,Female,4,0.22222222
555,Female,5,0.4
563,Female,1,0.6
563,Female,2,0.22222222
563,Female,3,0.5
563,Female,4,0.4
584,Female,1,0.5
584,Female,2,0.8
584,Female,3,0.6
584,Female,4,0.33333333
589,Female,1,0.8
589,Female,2,0.55555556
589,Female,3,0.7
589,Female,4,0.9
589,Female,5,0.88888889
595,Female,1,0.42857143
595,Female,2,0
595,Female,3,0.33333333
639,Female,1,1
639,Female,2,0.8
639,Female,3,0.625
639,Female,4,0.875
646,Female,1,0.4
646,Female,2,0.5
646,Female,3,0.22222222
646,Female,4,0.33333333
646,Female,5,0.55555556
705,Female,1,0.375
705,Female,2,0.3
705,Female,3,0.5
705,Female,4,0.88888889
705,Female,5,0.6
707,Female,1,0.3
707,Female,2,0.88888889
707,Female,3,0.5
707,Female,4,0.44444444
707,Female,5,0.875
712,Female,1,0
712,Female,2,0
712,Female,3,0
712,Female,4,0.4
712,Female,5,0
714,Female,1,0
714,Female,2,0.9
714,Female,3,0.7
714,Female,4,0.7
716,Female,1,0.7
716,Female,2,0.7
716,Female,3,0.7
716,Female,4,0.4
716,Female,5,0.66666667
721,Female,1,0.8
721,Female,2,0.6
721,Female,3,0.4
721,Female,4,0
721,Female,5,0.44444444
727,Female,1,0.375
727,Female,2,0.22222222
727,Female,3,0.5
727,Female,4,0.875
727,Female,5,0.5
730,Female,1,0.66666667
730,Female,2,0.33333333
730,Female,3,0.5
730,Female,4,0.8
732,Female,1,0.77777778
732,Female,2,0.85714286
732,Female,3,0.625
732,Female,4,0.7
732,Female,5,0.9
737,Female,1,0.77777778
737,Female,2,0.77777778
737,Female,3,0.8
737,Female,4,0.75
737,Female,5,0.6
748,Female,1,0.625
748,Female,2,0.2
748,Female,3,0.3
748,Female,4,0.4
757,Female,1,1
757,Female,2,0.8
757,Female,3,1
757,Female,4,0.66666667
761,Female,1,1
761,Female,2,1
761,Female,3,0.8
761,Female,4,0.83333333
765,Female,1,0.75
765,Female,2,0.3
765,Female,3,0.33333333
765,Female,4,0.3
765,Female,5,0.7
776,Female,1,1
776,Female,2,1
776,Female,3,1
776,Female,4,1
776,Female,5,0.9
786,Female,1,0.6
786,Female,2,0.4
786,Female,3,0
786,Female,4,0
786,Female,5,0.33333333
787,Female,1,0.9
787,Female,2,0.8
787,Female,3,0.9
787,Female,4,0.8
787,Female,5,0.88888889
796,Female,1,0.9
796,Female,2,0.4
796,Female,3,0.57142857
796,Female,4,0.8
796,Female,5,1
799,Female,1,0.2
799,Female,2,0.2
799,Female,3,0
799,Female,4,0.22222222
799,Female,5,0.3
801,Female,1,0.8
801,Female,2,0.8
801,Female,3,1
801,Female,4,0.9
801,Female,5,0.9
802,Female,1,1
802,Female,2,1
802,Female,3,0.875
802,Female,4,0.8
804,Female,1,0.8
804,Female,2,0.88888889
804,Female,3,1
804,Female,4,1
804,Female,5,0.8
805,Female,1,1
805,Female,2,1
805,Female,3,0.8
805,Female,4,1
805,Female,5,1
808,Female,1,1
808,Female,2,0.6
808,Female,3,0.77777778
808,Female,4,1
810,Female,1,0.88888889
810,Female,2,0.77777778
810,Female,3,0
810,Female,4,0.8
810,Female,5,0.8
818,Female,1,0.1
818,Female,2,0.1
818,Female,3,0.11111111
818,Female,4,0
818,Female,5,0.1
819,Female,1,0.44444444
819,Female,2,1
819,Female,3,0.3
820,Female,1,0.8
820,Female,2,1
820,Female,3,0.875
820,Female,4,0.88888889
821,Female,1,0
821,Female,2,0
821,Female,3,0.1
821,Female,4,0
821,Female,5,0
832,Female,1,0.55555556
832,Female,2,0.2
832,Female,3,0.5
832,Female,4,0.11111111
832,Female,5,0.3
843,Female,1,0.7
843,Female,2,0.22222222
843,Female,3,0.7
843,Female,4,0.3
843,Female,5,0.22222222
850,Female,1,1
850,Female,2,1
850,Female,3,1
850,Female,4,1
850,Female,5,1
852,Female,1,0.4
852,Female,2,0.11111111
852,Female,3,0.9
852,Female,4,0.55555556
852,Female,5,0.88888889
853,Female,1,1
853,Female,2,1
853,Female,3,1
853,Female,4,1
853,Female,5,1
857,Female,1,0.55555556
857,Female,2,0.3
857,Female,3,0.3
857,Female,4,0.55555556
857,Female,5,0.3
859,Female,1,0.3
859,Female,2,0.44444444
859,Female,3,0.22222222
859,Female,4,0.88888889
882,Female,1,0
882,Female,2,0.22222222
882,Female,3,0.2
882,Female,4,0.2
882,Female,5,0.1
884,Female,1,1
884,Female,2,1
884,Female,3,1
884,Female,4,1
884,Female,5,0.8
892,Female,1,0.6
892,Female,2,0.66666667
892,Female,3,0.77777778
892,Female,4,0.71428571
897,Female,1,0.77777778
897,Female,2,0.6
897,Female,3,0.8
897,Female,4,0.77777778
897,Female,5,1
900,Female,1,1
900,Female,2,0.8
900,Female,3,0.875
900,Female,4,0.44444444
900,Female,5,0.8
907,Female,1,0.88888889
907,Female,2,1
907,Female,3,1
907,Female,4,0.77777778
907,Female,5,1
908,Female,1,0.8
908,Female,2,0.14285714
908,Female,3,0.2
908,Female,4,0
911,Female,1,1
911,Female,2,0.88888889
911,Female,3,0.9
911,Female,4,1
911,Female,5,0.88888889
913,Female,1,0.55555556
913,Female,2,0.4
913,Female,3,0.2
913,Female,4,0.44444444
913,Female,5,0.3
21,Male,1,1
21,Male,2,1
21,Male,3,0.88888889
21,Male,4,0.125
21,Male,5,1
26,Male,1,1
26,Male,2,0.88888889
26,Male,3,1
26,Male,4,0.9
26,Male,5,0.875
28,Male,1,1
28,Male,2,0.9
28,Male,3,1
38,Male,1,1
38,Male,2,1
38,Male,3,1
38,Male,4,0.5
38,Male,5,0.4
40,Male,1,1
40,Male,2,1
40,Male,3,0.9
40,Male,4,1
40,Male,5,1
42,Male,1,1
42,Male,2,1
42,Male,3,1
42,Male,4,1
42,Male,5,1
57,Male,1,1
57,Male,2,0.88888889
57,Male,3,1
57,Male,4,1
57,Male,5,1
59,Male,1,1
59,Male,2,1
59,Male,3,1
59,Male,4,1
69,Male,1,1
69,Male,2,1
69,Male,3,1
69,Male,4,1
69,Male,5,1
73,Male,1,0.88888889
73,Male,2,0.66666667
73,Male,3,0.88888889
73,Male,4,0.9
73,Male,5,0.9
75,Male,1,0.8
75,Male,2,1
75,Male,3,0.9
75,Male,4,0.6
75,Male,5,1
83,Male,1,1
83,Male,2,1
83,Male,3,0.85714286
83,Male,4,0.875
83,Male,5,1
85,Male,1,1
85,Male,2,1
85,Male,3,1
85,Male,4,1
85,Male,5,1
88,Male,1,1
88,Male,2,1
88,Male,3,1
88,Male,4,1
88,Male,5,0.9
91,Male,1,1
91,Male,2,0.8
91,Male,3,1
91,Male,4,0.88888889
91,Male,5,0.7
109,Male,1,1
109,Male,2,1
109,Male,3,1
109,Male,4,0.9
109,Male,5,1
138,Male,1,0.625
138,Male,2,0.9
138,Male,3,1
138,Male,4,1
138,Male,5,1
142,Male,1,1
142,Male,2,1
142,Male,3,1
142,Male,4,1
149,Male,1,1
149,Male,2,1
149,Male,3,1
149,Male,4,1
158,Male,1,0.55555556
158,Male,2,1
158,Male,3,0.9
158,Male,4,0.55555556
158,Male,5,0.88888889
161,Male,1,0.625
161,Male,2,0.1
161,Male,3,0.625
161,Male,4,0.55555556
161,Male,5,0.6
189,Male,1,1
189,Male,2,1
189,Male,3,1
189,Male,4,1
208,Male,1,0.5
208,Male,2,1
208,Male,3,0.375
208,Male,4,0.9
208,Male,5,1
217,Male,1,0.83333333
217,Male,2,0.875
217,Male,3,0.77777778
217,Male,4,1
217,Male,5,1
227,Male,1,0
227,Male,2,0.4
227,Male,3,0.1
227,Male,4,0.3
227,Male,5,0.33333333
228,Male,1,1
228,Male,2,1
228,Male,3,1
228,Male,4,1
228,Male,5,1
229,Male,1,1
229,Male,2,0.83333333
229,Male,3,1
233,Male,1,0.4
233,Male,2,0.2
233,Male,3,0.8
233,Male,4,0.6
235,Male,1,0.4
235,Male,2,0.625
235,Male,3,0.5
235,Male,4,0.6
235,Male,5,0.5
237,Male,1,1
237,Male,2,1
237,Male,3,1
237,Male,4,1
237,Male,5,1
239,Male,1,1
239,Male,2,1
239,Male,3,1
239,Male,4,1
239,Male,5,1
256,Male,1,1
256,Male,2,1
256,Male,3,1
256,Male,4,1
280,Male,1,0.8
280,Male,2,0.9
280,Male,3,0.2
280,Male,4,1
280,Male,5,1
287,Male,1,1
287,Male,2,1
287,Male,3,1
287,Male,4,1
301,Male,1,0.1
301,Male,2,0.4
301,Male,3,0.1
301,Male,4,0.125
301,Male,5,0.2
303,Male,1,0.7
303,Male,2,1
303,Male,3,0.88888889
303,Male,4,0.8
303,Male,5,1
304,Male,1,1
304,Male,2,0.88888889
304,Male,3,0.57142857
304,Male,4,1
304,Male,5,1
307,Male,1,0.2
307,Male,2,0
307,Male,3,0.33333333
307,Male,4,0.22222222
307,Male,5,0.44444444
310,Male,1,0.9
310,Male,2,0.625
310,Male,3,0.77777778
