sex,Id,Strain,Repl,Sex,CS,Log CS
F,A_02,712,712.1,F,1400.108,7.244
F,A_03,712,712.1,F,1376.598,7.227
F,A_04,712,712.1,F,1315.742,7.182
F,A_05,712,712.1,F,1343.938,7.203
M,A_02,712,712.1,M,1170.98,7.066
M,A_03,712,712.1,M,1209.887,7.098
M,A_04,712,712.1,M,1117.831,7.019
M,A_05,712,712.1,M,1156.629,7.053
F,A_01,712,712.2,F,1388.543,7.236
F,A_02,712,712.2,F,1400.598,7.245
F,A_03,712,712.2,F,1357.859,7.214
F,A_04,712,712.2,F,1368.466,7.221
F,A_05,712,712.2,F,1376.689,7.227
M,A_01,712,712.2,M,1165.609,7.061
M,A_02,712,712.2,M,1163.922,7.06
M,A_03,712,712.2,M,1176.628,7.07
M,A_04,712,712.2,M,1172.907,7.067
M,A_05,712,712.2,M,1098.494,7.002
F,A_01,712,712.3,F,1369.627,7.222
F,A_02,712,712.3,F,1400.454,7.245
F,A_03,712,712.3,F,1364.921,7.219
F,A_04,712,712.3,F,1375.055,7.226
F,A_05,712,712.3,F,1412.725,7.253
M,A_01,712,712.3,M,1156.542,7.053
M,A_02,712,712.3,M,1165.105,7.061
M,A_03,712,712.3,M,1126.971,7.027
M,A_05,712,712.3,M,1183.782,7.076
F,A_01,712,712.4,F,1191.256,7.083
F,A_02,712,712.4,F,1368.814,7.222
F,A_03,712,712.4,F,1400.162,7.244
F,A_04,712,712.4,F,1340.383,7.201
F,A_05,712,712.4,F,1410.642,7.252
M,A_01,712,712.4,M,1166.555,7.062
M,A_02,712,712.4,M,1159.504,7.056
M,A_03,712,712.4,M,1147.613,7.045
M,A_04,712,712.4,M,1122.598,7.023
M,A_05,712,712.4,M,1136.103,7.035
F,A_01,714,714.1,F,1371.412,7.224
F,A_02,714,714.1,F,1384.932,7.233
F,A_03,714,714.1,F,1272.231,7.149
F,A_04,714,714.1,F,1367.594,7.221
F,A_05,714,714.1,F,1328.202,7.192
M,A_01,714,714.1,M,1148.147,7.046
M,A_02,714,714.1,M,1028.678,6.936
M,A_03,714,714.1,M,1113.501,7.015
M,A_04,714,714.1,M,1127.323,7.028
M,A_05,714,714.1,M,1168.413,7.063
F,A_01,714,714.2,F,1364.318,7.218
F,A_02,714,714.2,F,1352.613,7.21
F,A_03,714,714.2,F,1356.05,7.212
F,A_04,714,714.2,F,1359.38,7.215
F,A_05,714,714.2,F,1348.24,7.207
M,A_01,714,714.2,M,1119.747,7.021
M,A_02,714,714.2,M,1131.064,7.031
M,A_03,714,714.2,M,1159.983,7.056
M,A_04,714,714.2,M,1132.019,7.032
M,A_05,714,714.2,M,1131.909,7.032
F,A_01,714,714.3,F,1282.869,7.157
F,A_02,714,714.3,F,1309.834,7.178
F,A_03,714,714.3,F,1228.283,7.113
F,A_04,714,714.3,F,1295.13,7.166
F,A_05,714,714.3,F,1311.971,7.179
M,A_01,714,714.3,M,1188.806,7.081
M,A_02,714,714.3,M,1155.077,7.052
M,A_03,714,714.3,M,1152.032,7.049
M,A_04,714,714.3,M,1156.678,7.053
M,A_05,714,714.3,M,1148.96,7.047
F,A_01,714,714.4,F,1293.142,7.165
F,A_02,714,714.4,F,1291.959,7.164
F,A_03,714,714.4,F,1284.105,7.158
F,A_04,714,714.4,F,1275.983,7.151
F,A_05,714,714.4,F,1288.894,7.162
M,A_02,714,714.4,M,1100.247,7.003
M,A_03,714,714.4,M,1150.311,7.048
M,A_04,714,714.4,M,1201.533,7.091
M,A_05,714,714.4,M,1086.076,6.99
F,A_01,730,730.1,F,1336.997,7.198
F,A_02,730,730.1,F,1327.701,7.191
F,A_03,730,730.1,F,1298.984,7.169
F,A_04,730,730.1,F,1373.286,7.225
F,A_05,730,730.1,F,1274.782,7.151
M,A_02,730,730.1,M,1190.773,7.082
M,A_03,730,730.1,M,1093.454,6.997
M,A_04,730,730.1,M,1153.754,7.051
M,A_05,730,730.1,M,1187.15,7.079
F,A_01,730,730.2,F,1275.959,7.151
F,A_02,730,730.2,F,1233.022,7.117
F,A_03,730,730.2,F,1243.304,7.125
F,A_04,730,730.2,F,1371.035,7.223
F,A_05,730,730.2,F,1342.694,7.202
M,A_01,730,730.2,M,1227.246,7.113
M,A_02,730,730.2,M,1125.861,7.026
M,A_03,730,730.2,M,1179.884,7.073
M,A_04,730,730.2,M,1218.185,7.105
M,A_05,730,730.2,M,1130.29,7.03
F,A_01,730,730.3,F,1375.185,7.226
F,A_02,730,730.3,F,1255.977,7.136
F,A_03,730,730.3,F,1333.177,7.195
F,A_04,730,730.3,F,1401.036,7.245
F,A_05,730,730.3,F,1326.192,7.19
M,A_01,730,730.3,M,1192.175,7.084
M,A_02,730,730.3,M,1217.742,7.105
M,A_03,730,730.3,M,1152.136,7.049
M,A_04,730,730.3,M,1137.24,7.036
M,A_05,730,730.3,M,1133.539,7.033
F,A_01,730,730.4,F,1387.494,7.235
F,A_02,730,730.4,F,1404.244,7.247
F,A_03,730,730.4,F,1404.339,7.247
F,A_04,730,730.4,F,1376.638,7.227
F,A_05,730,730.4,F,1372.881,7.225
M,A_01,730,730.4,M,1176.226,7.07
M,A_02,730,730.4,M,1126.204,7.027
M,A_03,730,730.4,M,1173.635,7.068
M,A_04,730,730.4,M,1173.421,7.068
M,A_05,730,730.4,M,1185.608,7.078
F,A_01,732,732.1,F,1332.688,7.195
F,A_02,732,732.1,F,1361.318,7.216
F,A_03,732,732.1,F,1355.975,7.212
F,A_04,732,732.1,F,1347.044,7.206
F,A_05,732,732.1,F,1353.301,7.21
M,A_03,732,732.1,M,1143.593,7.042
M,A_04,732,732.1,M,1163.037,7.059
M,A_05,732,732.1,M,1148.158,7.046
F,A_01,732,732.2,F,1363.313,7.218
F,A_02,732,732.2,F,1318.925,7.185
F,A_03,732,732.2,F,1366.671,7.22
F,A_04,732,732.2,F,1368.773,7.222
F,A_05,732,732.2,F,1346.704,7.205
M,A_02,732,732.2,M,1142.423,7.041
M,A_03,732,732.2,M,1144.839,7.043
M,A_04,732,732.2,M,1148.425,7.046
M,A_05,732,732.2,M,1121.373,7.022
M,A_06,732,732.2,M,1094.299,6.998
F,A_01,732,732.3,F,1332.714,7.195
F,A_02,732,732.3,F,1377.715,7.228
F,A_03,732,732.3,F,1347.321,7.206
F,A_04,732,732.3,F,1350.88,7.209
F,A_05,732,732.3,F,1358.627,7.214
M,A_01,732,732.3,M,1182.244,7.075
M,A_02,732,732.3,M,1187.887,7.08
M,A_03,732,732.3,M,1145.928,7.044
M,A_04,732,732.3,M,1170.609,7.065
M,A_05,732,732.3,M,1192.576,7.084
F,A_01,732,732.4,F,1346.193,7.205
F,A_02,732,732.4,F,1305.136,7.174
F,A_03,732,732.4,F,1370.396,7.223
F,A_04,732,732.4,F,1362.628,7.217
F,A_05,732,732.4,F,1333.115,7.195
M,A_01,732,732.4,M,1142.39,7.041
M,A_02,732,732.4,M,1178.47,7.072
M,A_03,732,732.4,M,1147.899,7.046
M,A_04,732,732.4,M,1167.601,7.063
M,A_05,732,732.4,M,1194.459,7.085
F,A_01,765,765.1,F,1311.801,7.179
F,A_02,765,765.1,F,1354.865,7.211
F,A_03,765,765.1,F,1274.633,7.15
F,A_04,765,765.1,F,1351.323,7.209
F,A_05,765,765.1,F,1289.099,7.162
M,A_01,765,765.1,M,1175.208,7.069
M,A_02,765,765.1,M,1134.234,7.034
M,A_03,765,765.1,M,1121.093,7.022
M,A_04,765,765.1,M,1110.089,7.012
M,A_05,765,765.1,M,1147.864,7.046
F,A_01,765,765.2,F,1292.127,7.164
F,A_02,765,765.2,F,1320.704,7.186
F,A_03,765,765.2,F,1285.537,7.159
F,A_04,765,765.2,F,1352.772,7.21
F,A_05,765,765.2,F,1333.607,7.196
M,A_01,765,765.2,M,1114.637,7.016
M,A_02,765,765.2,M,1133.591,7.033
M,A_03,765,765.2,M,1104.85,7.007
M,A_04,765,765.2,M,1136.071,7.035
F,A_01,765,765.3,F,1291.513,7.164
F,A_02,765,765.3,F,1275.885,7.151
F,A_03,765,765.3,F,1229.523,7.114
F,A_04,765,765.3,F,1256.261,7.136
F,A_05,765,765.3,F,1321.198,7.186
M,A_01,765,765.3,M,1158.071,7.055
M,A_02,765,765.3,M,1144.956,7.043
M,A_03,765,765.3,M,1162.507,7.058
M,A_04,765,765.3,M,1153.681,7.051
M,A_05,765,765.3,M,1143.67,7.042
F,A_01,765,765.4,F,1299.372,7.17
F,A_02,765,765.4,F,1253.838,7.134
F,A_03,765,765.4,F,1239.665,7.123
F,A_04,765,765.4,F,1220.772,7.107
F,A_05,765,765.4,F,1313.553,7.18
M,A_01,765,765.4,M,1123.152,7.024
M,A_02,765,765.4,M,1158.698,7.055
M,A_03,765,765.4,M,1126.132,7.027
M,A_04,765,765.4,M,1182.524,7.075
M,A_05,765,765.4,M,1153.628,7.051
F,A_01,774,774.1,F,1308.444,7.177
F,A_02,774,774.1,F,1345.216,7.204
F,A_03,774,774.1,F,1273.129,7.149
F,A_04,774,774.1,F,1301.344,7.171
F,A_05,774,774.1,F,1351.563,7.209
M,A_01,774,774.1,M,1123.22,7.024
M,A_02,774,774.1,M,1042.865,6.95
F,A_01,774,774.2,F,1247.073,7.129
F,A_02,774,774.2,F,1306.435,7.175
F,A_03,774,774.2,F,1277.617,7.153
F,A_04,774,774.2,F,1287.522,7.16
F,A_05,774,774.2,F,1303.768,7.173
M,A_01,774,774.2,M,1148.217,7.046
M,A_02,774,774.2,M,1134.291,7.034
M,A_03,774,774.2,M,1101.897,7.005
M,A_04,774,774.2,M,1136.535,7.036
M,A_05,774,774.2,M,1127.309,7.028
M,A_06,774,774.2,M,1122.242,7.023
F,A_01,774,774.3,F,1257.63,7.137
F,A_02,774,774.3,F,1274.516,7.15
F,A_03,774,774.3,F,1224.386,7.11
F,A_04,774,774.3,F,1275.746,7.151
F,A_05,774,774.3,F,1282.853,7.157
M,A_01,774,774.3,M,1087.649,6.992
M,A_02,774,774.3,M,1104.922,7.008
M,A_03,774,774.3,M,1131.983,7.032
M,A_04,774,774.3,M,1094.197,6.998
M,A_05,774,774.3,M,1072.402,6.978
M,A_06,774,774.3,M,1117.491,7.019
F,A_01,774,774.4,F,1265.908,7.144
F,A_02,774,774.4,F,1289.27,7.162
F,A_04,774,774.4,F,1289.366,7.162
F,A_05,774,774.4,F,1238.245,7.121
M,A_01,774,774.4,M,1135.03,7.034
M,A_02,774,774.4,M,1167.323,7.062
M,A_04,774,774.4,M,1131.609,7.031
M,A_05,774,774.4,M,1110.247,7.012
M,A_06,774,774.4,M,1092.496,6.996
F,A_01,786,786.1,F,1248.855,7.13
F,A_02,786,786.1,F,1278.592,7.154
F,A_03,786,786.1,F,1314.408,7.181
F,A_04,786,786.1,F,1279.007,7.154
F,A_05,786,786.1,F,1236.155,7.12
M,A_01,786,786.1,M,1108.853,7.011
M,A_02,786,786.1,M,1102.986,7.006
M,A_03,786,786.1,M,1109.372,7.012
M,A_04,786,786.1,M,1147.689,7.046
M,A_05,786,786.1,M,1117.169,7.019
F,A_01,786,786.2,F,1295.708,7.167
F,A_02,786,786.2,F,1222.4,7.109
F,A_03,786,786.2,F,1268.273,7.145
F,A_04,786,786.2,F,1279.664,7.154
M,A_01,786,786.2,M,1098.632,7.002
M,A_02,786,786.2,M,1082.152,6.987
M,A_03,786,786.2,M,1103.067,7.006
M,A_04,786,786.2,M,1129.716,7.03
M,A_05,786,786.2,M,1049.141,6.956
F,A_01,786,786.3,F,1274.391,7.15
F,A_02,786,786.3,F,1289.741,7.162
F,A_03,786,786.3,F,1308.447,7.177
F,A_04,786,786.3,F,1272.48,7.149
F,A_05,786,786.3,F,1271.273,7.148
F,A_06,786,786.3,F,1227.74,7.113
M,A_01,786,786.3,M,1107.291,7.01
M,A_02,786,786.3,M,1123.718,7.024
M,A_03,786,786.3,M,1060.091,6.966
M,A_04,786,786.3,M,1118.633,7.02
M,A_05,786,786.3,M,1036.844,6.944
F,A_01,786,786.4,F,1305.627,7.174
F,A_02,786,786.4,F,1269.658,7.146
F,A_03,786,786.4,F,1309.586,7.177
F,A_04,786,786.4,F,1240.178,7.123
F,A_05,786,786.4,F,1288.97,7.162
M,A_01,786,786.4,M,1114.784,7.016
M,A_02,786,786.4,M,1032.271,6.94
M,A_03,786,786.4,M,1088.219,6.992
M,A_04,786,786.4,M,1107.056,7.009
M,A_05,786,786.4,M,1102.092,7.005
F,A_01,799,799.1,F,1325.395,7.189
F,A_02,799,799.1,F,1316.071,7.182
F,A_03,799,799.1,F,1323.604,7.187
F,A_04,799,799.1,F,1294.135,7.166
F,A_05,799,799.1,F,1305.983,7.175
M,A_01,799,799.1,M,1153.951,7.051
M,A_02,799,799.1,M,1136.349,7.036
M,A_03,799,799.1,M,1150.594,7.048
M,A_04,799,799.1,M,1141.543,7.04
M,A_05,799,799.1,M,1098.438,7.002
F,A_01,799,799.2,F,1286.717,7.16
F,A_02,799,799.2,F,1286.562,7.159
F,A_03,799,799.2,F,1289.529,7.162
F,A_04,799,799.2,F,1309.305,7.177
F,A_05,799,799.2,F,1301.488,7.171
M,A_01,799,799.2,M,1116.902,7.018
M,A_02,799,799.2,M,1138.658,7.037
M,A_03,799,799.2,M,1143.218,7.042
M,A_04,799,799.2,M,1115.237,7.017
M,A_05,799,799.2,M,1141.144,7.04
F,A_01,799,799.3,F,1264.572,7.142
F,A_02,799,799.3,F,1311.484,7.179
F,A_03,799,799.3,F,1308.6,7.176
F,A_04,799,799.3,F,1271.225,7.147
F,A_05,799,799.3,F,1325.999,7.19
M,A_01,799,799.3,M,1151.834,7.049
M,A_02,799,799.3,M,1164.363,7.06
M,A_03,799,799.3,M,1166.278,7.061
M,A_04,799,799.3,M,1143.026,7.041
M,A_05,799,799.3,M,1106.442,7.009
F,A_01,799,799.4,F,1329.131,7.192
F,A_02,799,799.4,F,1341.247,7.201
F,A_03,799,799.4,F,1333.203,7.195
F,A_04,799,799.4,F,1350.266,7.208
F,A_05,799,799.4,F,1298.127,7.169
M,A_01,799,799.4,M,1140.67,7.039
M,A_02,799,799.4,M,1172.554,7.067
M,A_03,799,799.4,M,1172.294,7.067
M,A_04,799,799.4,M,1168.934,7.063
M,A_05,799,799.4,M,1174.718,7.068
F,A_01,820,820.1,F,1261.947,7.14
F,A_02,820,820.1,F,1248.918,7.13
F,A_03,820,820.1,F,1247.846,7.129
F,A_04,820,820.1,F,1259.836,7.139
F,A_05,820,820.1,F,1260.296,7.139
M,A_01,820,820.1,M,1107.532,7.01
M,A_02,820,820.1,M,1097.943,7.001
M,A_04,820,820.1,M,1115.41,7.017
F,A_01,820,820.2,F,1256.906,7.136
F,A_02,820,820.2,F,1246.075,7.128
F,A_03,820,820.2,F,1257.138,7.137
F,A_04,820,820.2,F,1257.896,7.137
M,A_01,820,820.2,M,1097.596,7.001
M,A_02,820,820.2,M,1082.139,6.987
M,A_03,820,820.2,M,1097.22,7.001
M,A_04,820,820.2,M,1077.864,6.983
M,A_05,820,820.2,M,1116.732,7.018
M,A_06,820,820.2,M,1092.352,6.996
F,A_01,820,820.3,F,1256.822,7.136
F,A_02,820,820.3,F,1225.643,7.111
F,A_03,820,820.3,F,1255.484,7.135
F,A_04,820,820.3,F,1221.462,7.108
F,A_05,820,820.3,F,1197.482,7.088
M,A_01,820,820.3,M,1087.254,6.991
M,A_02,820,820.3,M,1081.182,6.986
M,A_03,820,820.3,M,1096.613,7
M,A_04,820,820.3,M,1078.821,6.984
M,A_05,820,820.3,M,1085.328,6.99
M,A_06,820,820.3,M,1100.186,7.003
F,A_01,820,820.4,F,1228.317,7.113
F,A_02,820,820.4,F,1245.786,7.128
F,A_03,820,820.4,F,1264.67,7.143
F,A_04,820,820.4,F,1261.267,7.14
F,A_05,820,820.4,F,1240.712,7.123
M,A_01,820,820.4,M,1089.459,6.993
M,A_02,820,820.4,M,1100.899,7.004
M,A_03,820,820.4,M,1091.201,6.995
M,A_04,820,820.4,M,1092.935,6.997
M,A_05,820,820.4,M,1089.444,6.993
M,A_06,820,820.4,M,1077.251,6.982
F,A_01,852,852.1,F,1339.567,7.2
F,A_02,852,852.1,F,1331.939,7.194
F,A_03,852,852.1,F,1367.303,7.221
F,A_04,852,852.1,F,1358.971,7.214
F,A_05,852,852.1,F,1406.367,7.249
M,A_01,852,852.1,M,1134.252,7.034
M,A_02,852,852.1,M,1148.116,7.046
M,A_03,852,852.1,M,1132.679,7.032
M,A_04,852,852.1,M,1100.023,7.003
M,A_05,852,852.1,M,1159.438,7.056
M,A_06,852,852.1,M,1126.929,7.027
F,A_01,852,852.2,F,1381.828,7.231
F,A_02,852,852.2,F,1338.075,7.199
F,A_03,852,852.2,F,1289.53,7.162
F,A_04,852,852.2,F,1324.287,7.189
F,A_05,852,852.2,F,1359.031,7.215
M,A_01,852,852.2,M,1127.873,7.028
M,A_02,852,852.2,M,1123.338,7.024
M,A_03,852,852.2,M,1136.558,7.036
M,A_04,852,852.2,M,1092.76,6.996
M,A_05,852,852.2,M,1121.995,7.023
F,A_01,852,852.3,F,1312.575,7.18
F,A_02,852,852.3,F,1297.186,7.168
F,A_03,852,852.3,F,1312.451,7.18
F,A_04,852,852.3,F,1338.888,7.2
F,A_06,852,852.3,F,1335.844,7.197
M,A_01,852,852.3,M,1152.094,7.049
M,A_02,852,852.3,M,1179.949,7.073
M,A_03,852,852.3,M,1132.416,7.032
M,A_04,852,852.3,M,1097.087,7
M,A_05,852,852.3,M,1174.166,7.068
F,A_01,852,852.4,F,1345.9,7.205
F,A_02,852,852.4,F,1344.86,7.204
F,A_03,852,852.4,F,1313.225,7.18
F,A_04,852,852.4,F,1321.366,7.186
F,A_05,852,852.4,F,1363.389,7.218
M,A_01,852,852.4,M,1154.327,7.051
M,A_02,852,852.4,M,1109.297,7.011
M,A_03,852,852.4,M,1106.056,7.009
M,A_04,852,852.4,M,1154.4,7.051
M,A_05,852,852.4,M,1115.146,7.017
F,A_01,859,859.1,F,1394.322,7.24
F,A_02,859,859.1,F,1412.229,7.253
F,A_03,859,859.1,F,1396.318,7.242
F,A_04,859,859.1,F,1416,7.256
F,A_05,859,859.1,F,1363.789,7.218
M,A_01,859,859.1,M,1227.37,7.113
M,A_02,859,859.1,M,1206.367,7.095
M,A_03,859,859.1,M,1264.084,7.142
M,A_04,859,859.1,M,1219.549,7.106
M,A_05,859,859.1,M,1216.539,7.104
F,A_01,859,859.2,F,1410.695,7.252
F,A_02,859,859.2,F,1410.913,7.252
F,A_03,859,859.2,F,1414.107,7.254
F,A_04,859,859.2,F,1388.42,7.236
F,A_05,859,859.2,F,1360.02,7.215
M,A_01,859,859.2,M,1241.024,7.124
M,A_02,859,859.2,M,1223.342,7.109
M,A_03,859,859.2,M,1200.937,7.091
M,A_04,859,859.2,M,1092.96,6.997
M,A_05,859,859.2,M,1198.946,7.089
F,A_01,859,859.3,F,1380.653,7.23
F,A_02,859,859.3,F,1383.811,7.233
F,A_03,859,859.3,F,1294.68,7.166
F,A_04,859,859.3,F,1339.649,7.2
F,A_05,859,859.3,F,1373.104,7.225
M,A_01,859,859.3,M,1176.947,7.071
M,A_02,859,859.3,M,1165.668,7.061
M,A_03,859,859.3,M,1133.484,7.033
M,A_04,859,859.3,M,1162.82,7.059
M,A_05,859,859.3,M,1275.246,7.151
F,A_01,859,859.4,F,1395.438,7.241
F,A_02,859,859.4,F,1347.658,7.206
F,A_03,859,859.4,F,1380.438,7.23
F,A_04,859,859.4,F,1368.77,7.222
F,A_05,859,859.4,F,1355.14,7.212
M,A_01,859,859.4,M,1197.866,7.088
M,A_02,859,859.4,M,1197.509,7.088
M,A_03,859,859.4,M,1225.258,7.111
M,A_04,859,859.4,M,1209.473,7.098
M,A_05,859,859.4,M,1196.497,7.087
