Date,Block,Rep,Line,LatCop,promiscuity,minuslogLatCop
14-Dec,1,2,639,24,6,-1.3802112
14-Dec,1,2,357,7.5,10,-0.8750613
14-Dec,1,2,313,42,10,-1.6232493
14-Dec,1,2,208,12.5,9,-1.09691
14-Dec,1,2,820,102,10,-2.0086002
14-Dec,1,2,315,7,10,-0.845098
14-Dec,1,2,301,9,9,-0.9542425
14-Dec,1,2,335,11.5,8,-1.0606978
14-Dec,1,2,362,92.5,9,-1.9661417
14-Dec,1,2,486,9.5,9,-0.9777236
28-Dec,2,1,360,6.5,10,-0.8129134
28-Dec,2,1,820,52,10,-1.7160033
28-Dec,2,1,315,7.5,7,-0.8750613
28-Dec,2,1,358,6,7,-0.7781513
28-Dec,2,1,313,11.5,10,-1.0606978
28-Dec,2,1,774,3.5,10,-0.544068
28-Dec,2,1,714,15.5,9,-1.1903317
28-Dec,2,1,639,10,7,-1
28-Dec,2,1,555,85,7,-1.9294189
28-Dec,2,1,427,19,9,-1.2787536
28-Dec,2,1,799,13.5,10,-1.1303338
28-Dec,2,1,765,10.5,8,-1.0211893
28-Dec,2,1,707,17.5,7,-1.243038
28-Dec,2,1,437,21.5,8,-1.3324385
28-Dec,2,1,365,9,9,-0.9542425
28-Dec,2,1,357,14.5,9,-1.161368
28-Dec,2,1,380,52.5,1,-1.7201593
28-Dec,2,1,705,34.5,8,-1.5378191
28-Dec,2,1,307,15.5,2,-1.1903317
28-Dec,2,1,304,16.5,9,-1.2174839
28-Dec,2,1,517,120,9,-2.0791812
28-Dec,2,1,399,9.5,10,-0.9777236
28-Dec,2,1,375,7.5,9,-0.8750613
28-Dec,2,1,730,38,6,-1.5797836
28-Dec,2,1,379,20.5,7,-1.3117539
28-Dec,2,1,335,32.5,4,-1.5118834
28-Dec,2,1,324,15.5,10,-1.1903317
28-Dec,2,1,486,5.5,10,-0.7403627
28-Dec,2,1,391,42,8,-1.6232493
28-Dec,2,1,362,35.5,10,-1.5502284
28-Dec,2,1,208,6.5,10,-0.8129134
28-Dec,2,1,301,19,9,-1.2787536
28-Dec,2,1,712,16.5,8,-1.2174839
28-Dec,2,2,360,10,9,-1
28-Dec,2,2,820,120,6,-2.0791812
28-Dec,2,2,315,100,6,-2
28-Dec,2,2,358,7.5,8,-0.8750613
28-Dec,2,2,313,19,10,-1.2787536
28-Dec,2,2,774,35.5,10,-1.5502284
28-Dec,2,2,714,8,8,-0.90309
28-Dec,2,2,639,111.5,3,-2.0472749
28-Dec,2,2,555,47.5,6,-1.6766936
28-Dec,2,2,427,10,9,-1
28-Dec,2,2,799,120,8,-2.0791812
28-Dec,2,2,765,22,8,-1.3424227
28-Dec,2,2,707,75.5,8,-1.877947
28-Dec,2,2,437,28,9,-1.447158
28-Dec,2,2,365,38.5,10,-1.5854607
28-Dec,2,2,357,20,7,-1.30103
28-Dec,2,2,380,27,10,-1.4313638
28-Dec,2,2,705,36.5,7,-1.5622929
28-Dec,2,2,307,18,6,-1.2552725
28-Dec,2,2,304,18,2,-1.2552725
28-Dec,2,2,517,120,10,-2.0791812
28-Dec,2,2,399,5.5,9,-0.7403627
28-Dec,2,2,375,14,10,-1.146128
28-Dec,2,2,730,26,7,-1.4149733
28-Dec,2,2,379,10.5,9,-1.0211893
28-Dec,2,2,335,34,8,-1.5314789
28-Dec,2,2,324,12.5,9,-1.09691
28-Dec,2,2,486,11,3,-1.0413927
28-Dec,2,2,391,9,10,-0.9542425
28-Dec,2,2,362,14,8,-1.146128
28-Dec,2,2,208,46.5,6,-1.667453
28-Dec,2,2,301,14,7,-1.146128
28-Dec,2,2,712,15.5,6,-1.1903317
11-Jan,3,1,375,51.5,8,-1.7118072
11-Jan,3,1,707,17.5,4,-1.243038
11-Jan,3,1,399,8,10,-0.90309
11-Jan,3,1,313,120,7,-2.0791812
11-Jan,3,1,639,26,7,-1.4149733
11-Jan,3,1,714,6.5,9,-0.8129134
11-Jan,3,1,486,11.5,9,-1.0606978
11-Jan,3,1,774,7,8,-0.845098
11-Jan,3,1,324,12.5,9,-1.09691
11-Jan,3,1,360,14,8,-1.146128
11-Jan,3,1,427,6.5,0,-0.8129134
11-Jan,3,1,712,59,9,-1.770852
11-Jan,3,1,315,25,8,-1.39794
11-Jan,3,1,379,25,10,-1.39794
11-Jan,3,1,730,36,5,-1.5563025
11-Jan,3,1,365,6,8,-0.7781513
11-Jan,3,1,555,13,6,-1.1139434
11-Jan,3,1,380,12,1,-1.0791812
11-Jan,3,1,307,13.5,8,-1.1303338
11-Jan,3,1,391,120,7,-2.0791812
11-Jan,3,1,335,7,10,-0.845098
11-Jan,3,1,358,5,1,-0.69897
11-Jan,3,1,517,120,10,-2.0791812
11-Jan,3,1,799,10.5,10,-1.0211893
11-Jan,3,1,357,19.5,10,-1.2900346
11-Jan,3,1,820,12,8,-1.0791812
11-Jan,3,1,765,27.5,6,-1.4393327
11-Jan,3,1,437,15.5,7,-1.1903317
11-Jan,3,1,208,7,8,-0.845098
11-Jan,3,1,304,16,5,-1.20412
11-Jan,3,1,705,113,7,-2.0530784
11-Jan,3,1,301,54,8,-1.7323938
11-Jan,3,1,362,11.5,9,-1.0606978
11-Jan,3,2,375,10,10,-1
11-Jan,3,2,707,6,5,-0.7781513
11-Jan,3,2,399,10,9,-1
11-Jan,3,2,313,120,10,-2.0791812
11-Jan,3,2,639,109,4,-2.0374265
11-Jan,3,2,714,20,0,-1.30103
11-Jan,3,2,486,3.5,9,-0.544068
11-Jan,3,2,774,33,10,-1.5185139
11-Jan,3,2,324,23.5,9,-1.3710679
11-Jan,3,2,360,10.5,7,-1.0211893
11-Jan,3,2,427,29.5,9,-1.469822
11-Jan,3,2,712,38.5,8,-1.5854607
11-Jan,3,2,315,21.5,10,-1.3324385
11-Jan,3,2,379,37.5,10,-1.5740313
11-Jan,3,2,730,76,3,-1.8808136
11-Jan,3,2,365,7,3,-0.845098
11-Jan,3,2,555,29,8,-1.462398
11-Jan,3,2,380,16,4,-1.20412
11-Jan,3,2,307,36,7,-1.5563025
11-Jan,3,2,391,16.5,9,-1.2174839
11-Jan,3,2,335,6,8,-0.7781513
11-Jan,3,2,358,6,8,-0.7781513
11-Jan,3,2,517,95,10,-1.9777236
11-Jan,3,2,799,9,8,-0.9542425
11-Jan,3,2,357,50,10,-1.69897
11-Jan,3,2,820,120,6,-2.0791812
11-Jan,3,2,765,36.5,5,-1.5622929
11-Jan,3,2,437,18.5,4,-1.2671717
11-Jan,3,2,208,8,10,-0.90309
11-Jan,3,2,304,14,9,-1.146128
11-Jan,3,2,301,25,10,-1.39794
11-Jan,3,2,705,100.5,9,-2.0021661
11-Jan,3,2,362,43.5,10,-1.6384893
25-Jan,4,1,324,12,10,-1.0791812
25-Jan,4,1,301,45.5,2,-1.6580114
25-Jan,4,1,307,21,8,-1.3222193
25-Jan,4,1,304,8,8,-0.90309
25-Jan,4,1,774,100,9,-2
25-Jan,4,1,427,5.5,0,-0.7403627
25-Jan,4,1,358,6,8,-0.7781513
25-Jan,4,1,380,35.5,8,-1.5502284
25-Jan,4,1,365,38.5,10,-1.5854607
25-Jan,4,1,730,15.5,3,-1.1903317
25-Jan,4,1,360,5,9,-0.69897
25-Jan,4,1,712,71,9,-1.8512583
25-Jan,4,1,639,43.5,5,-1.6384893
25-Jan,4,1,705,120,7,-2.0791812
25-Jan,4,1,517,104,7,-2.0170333
25-Jan,4,1,714,7,10,-0.845098
25-Jan,4,1,208,33.5,9,-1.5250448
25-Jan,4,1,799,107,10,-2.0293838
25-Jan,4,1,707,14,7,-1.146128
25-Jan,4,1,820,120,4,-2.0791812
25-Jan,4,1,313,18.5,10,-1.2671717
25-Jan,4,1,765,29,7,-1.462398
25-Jan,4,1,315,11.5,7,-1.0606978
25-Jan,4,1,375,51,0,-1.7075702
25-Jan,4,1,379,6.5,9,-0.8129134
25-Jan,4,1,391,14,NA,-1.146128
25-Jan,4,1,555,7.5,10,-0.8750613
25-Jan,4,1,437,9.5,8,-0.9777236
25-Jan,4,1,486,5,9,-0.69897
25-Jan,4,1,399,7,0,-0.845098
25-Jan,4,1,357,36,9,-1.5563025
25-Jan,4,2,324,62.5,9,-1.79588
25-Jan,4,2,301,18.5,10,-1.2671717
25-Jan,4,2,307,14,6,-1.146128
25-Jan,4,2,304,11.5,9,-1.0606978
25-Jan,4,2,774,8.5,10,-0.9294189
25-Jan,4,2,427,11,7,-1.0413927
25-Jan,4,2,358,10,10,-1
25-Jan,4,2,380,6.5,10,-0.8129134
25-Jan,4,2,365,17,NA,-1.2304489
25-Jan,4,2,730,58.5,7,-1.7671559
25-Jan,4,2,360,50.5,10,-1.7032914
25-Jan,4,2,712,95.5,7,-1.9800034
25-Jan,4,2,639,23.5,4,-1.3710679
25-Jan,4,2,705,120,8,-2.0791812
25-Jan,4,2,517,12,10,-1.0791812
25-Jan,4,2,714,5.5,8,-0.7403627
25-Jan,4,2,208,7,7,-0.845098
25-Jan,4,2,799,120,10,-2.0791812
25-Jan,4,2,707,24.5,9,-1.3891661
25-Jan,4,2,820,17,10,-1.2304489
25-Jan,4,2,313,51,10,-1.7075702
25-Jan,4,2,765,13,6,-1.1139434
25-Jan,4,2,315,120,10,-2.0791812
25-Jan,4,2,375,10.5,10,-1.0211893
25-Jan,4,2,379,29.5,8,-1.469822
25-Jan,4,2,391,25,7,-1.39794
25-Jan,4,2,555,24,7,-1.3802112
25-Jan,4,2,437,11.5,6,-1.0606978
25-Jan,4,2,486,9.5,9,-0.9777236
25-Jan,4,2,399,23.5,2,-1.3710679
25-Jan,4,2,357,21,7,-1.3222193
8-Feb,5,1,486,6,9,-0.7781513
8-Feb,5,1,362,18.5,9,-1.2671717
8-Feb,5,1,315,61,9,-1.7853298
8-Feb,5,1,639,30,5,-1.4771213
8-Feb,5,1,301,19,9,-1.2787536
8-Feb,5,1,399,10,6,-1
8-Feb,5,1,304,14,9,-1.146128
8-Feb,5,1,427,21,7,-1.3222193
8-Feb,5,1,380,19,NA,-1.2787536
8-Feb,5,1,517,83,10,-1.9190781
8-Feb,5,1,335,19,10,-1.2787536
8-Feb,5,1,324,8,5,-0.90309
8-Feb,5,1,799,120,10,-2.0791812
8-Feb,5,1,208,10.5,9,-1.0211893
8-Feb,5,1,391,12.5,7,-1.09691
8-Feb,5,1,774,2.5,10,-0.39794
8-Feb,5,1,360,27.5,7,-1.4393327
8-Feb,5,1,714,120,8,-2.0791812
8-Feb,5,1,705,20,9,-1.30103
8-Feb,5,1,437,13,7,-1.1139434
8-Feb,5,1,313,97,9,-1.9867717
8-Feb,5,1,730,8.5,6,-0.9294189
8-Feb,5,1,379,6,9,-0.7781513
8-Feb,5,1,375,12.5,3,-1.09691
8-Feb,5,1,365,8.5,8,-0.9294189
