ID,MappingPanel,line,Genotype Bloomington,RepVial,CaffeineResistance
28993,DGRP,69,28130,1,57.05
28994,DGRP,69,28130,1,45.21666667
28995,DGRP,69,28130,1,36.2
28996,DGRP,69,28130,1,55.93333333
28997,DGRP,69,28130,1,76.63333333
28998,DGRP,69,28130,1,54.28333333
28999,DGRP,73,28131,1,127.7333333
29000,DGRP,73,28131,1,12.46666667
29001,DGRP,73,28131,1,11.93333333
29002,DGRP,73,28131,1,10.03333333
29003,DGRP,73,28131,1,87.61666667
29004,DGRP,73,28131,1,20.13333333
29005,DGRP,73,28131,1,6.366666667
29006,DGRP,73,28131,1,13.65
29007,DGRP,73,28131,1,17.1
29008,DGRP,73,28131,1,119.2
29009,DGRP,73,28131,1,11.16666667
29010,DGRP,73,28131,1,83.06666667
29011,DGRP,73,28131,1,23.75
29012,DGRP,73,28131,1,95.23333333
29013,DGRP,73,28131,1,28.7
29014,DGRP,73,28131,1,87.41666667
29015,DGRP,75,28132,1,92.01666667
29016,DGRP,75,28132,1,60.93333333
29017,DGRP,75,28132,1,121.8666667
29018,DGRP,75,28132,1,67.85
29019,DGRP,75,28132,1,95.46666667
29020,DGRP,75,28132,1,115.2333333
29021,DGRP,75,28132,1,48.03333333
29022,DGRP,75,28132,1,30.81666667
29023,DGRP,75,28132,1,74.36666667
29024,DGRP,75,28132,1,104.2666667
29025,DGRP,75,28132,1,83.38333333
29026,DGRP,75,28132,1,91.4
29027,DGRP,75,28132,1,52.03333333
29028,DGRP,75,28132,1,57.55
29029,DGRP,75,28132,1,108.9666667
29030,DGRP,75,28132,1,82.06666667
29031,DGRP,83,28134,1,16.56666667
29032,DGRP,83,28134,1,29.7
29033,DGRP,83,28134,1,27.31666667
29034,DGRP,83,28134,1,60.83333333
29035,DGRP,83,28134,1,28.05
29036,DGRP,83,28134,1,60.95
29037,DGRP,83,28134,1,16.45
29038,DGRP,83,28134,1,33.75
29039,DGRP,83,28134,1,52.15
29040,DGRP,83,28134,1,17.53333333
29041,DGRP,83,28134,1,20.65
29042,DGRP,83,28134,1,48
29043,DGRP,83,28134,1,36.71666667
29044,DGRP,83,28134,1,32.38333333
29045,DGRP,83,28134,1,25.05
29046,DGRP,83,28134,1,23.63333333
30848,DGRP,85,28274,1,24.2
30849,DGRP,85,28274,1,16.98333333
30850,DGRP,85,28274,1,25.05
30851,DGRP,85,28274,1,15.46666667
30852,DGRP,85,28274,1,19.7
30853,DGRP,85,28274,1,14.23333333
