line,life-span (hr) on 1.5% boric acid
RAL427,30.5
RAL437,41.85
RAL437,28.9
RAL437,25.11666667
RAL437,20.55
RAL437,32.8
RAL437,37.93333333
RAL437,25.41666667
RAL437,33.38333333
RAL437,28.3
RAL437,23.15
RAL437,31.86666667
RAL437,29.38333333
RAL437,47.15
RAL437,22.03333333
RAL437,35.48333333
RAL437,28.25
RAL486,25.9
RAL486,45.58333333
RAL486,30.23333333
RAL486,36.53333333
RAL486,19.08333333
RAL486,34.58333333
RAL486,23.45
RAL486,27.4
RAL486,39
RAL486,18.88333333
RAL486,28.35
RAL486,37.65
RAL486,28.1
RAL486,21.25
RAL486,45.13333333
RAL486,13.65
RAL555,33.48333333
RAL555,29.93333333
RAL555,44.26666667
RAL555,37.2
RAL555,23.6
RAL555,34.95
RAL555,44.48333333
RAL555,31.2
RAL555,45.46666667
RAL555,26.45
RAL555,31.75
RAL555,43.46666667
RAL555,34.48333333
RAL555,30.78333333
RAL555,24.9
RAL639,25.05
RAL639,31.66666667
RAL639,30.73333333
RAL639,52.11666667
RAL639,45.36666667
RAL639,60.25
RAL639,38.58333333
RAL639,33.38333333
RAL639,24.7
RAL639,46.98333333
RAL639,27.05
RAL639,45.48333333
RAL639,23.71666667
RAL639,34.1
RAL639,30.4
RAL639,22.85
RAL707,22.35
RAL707,30.31666667
RAL707,30.16666667
RAL707,22.15
RAL707,25.16666667
RAL707,41.06666667
RAL707,25.31666667
RAL707,23.28333333
RAL707,19.5
RAL707,20.21666667
RAL707,20.15
RAL707,17.55
RAL707,26.58333333
RAL707,21.95
RAL707,15.16666667
RAL707,29.71666667
RAL707,37.05
RAL707,31.93333333
RAL707,36.03333333
RAL707,30.48333333
RAL707,27.61666667
RAL707,29.51666667
RAL707,23.73333333
RAL707,27.31666667
RAL707,21.1
RAL707,38.75
RAL707,27.08333333
RAL707,26.41666667
RAL707,23.86666667
RAL707,36.55
RAL707,12.36666667
RAL707,25.13333333
RAL712,37.73333333
RAL712,24.65
RAL712,36.88333333
RAL712,26.7
RAL712,24.71666667
RAL712,15.16666667
RAL712,24.95
RAL712,34.95
RAL712,46.35
RAL712,41.9
RAL712,26.26666667
RAL712,36.41666667
RAL712,40.2
RAL712,14.71666667
RAL712,35.48333333
RAL712,27.78333333
RAL730,60.88333333
RAL730,61.43333333
RAL730,52.56666667
RAL730,58.91666667
RAL730,56.3
RAL730,35
RAL730,43.73333333
RAL730,57.8
RAL730,56.35
RAL730,49.5
RAL730,71.56666667
RAL730,36.78333333
RAL730,47.16666667
RAL730,35.75
RAL730,55.71666667
RAL730,60.85
RAL732,27.23333333
RAL732,54.58333333
RAL732,47.6
RAL732,52.1
RAL732,51.36666667
RAL732,42.63333333
RAL732,39.88333333
RAL732,26.41666667
RAL732,26.98333333
RAL732,36.85
RAL732,31.51666667
RAL732,37.23333333
RAL732,42.56666667
RAL732,32.78333333
RAL732,42.75
RAL732,46.11666667
RAL774,24.03333333
RAL774,24.81666667
RAL774,39.41666667
RAL774,39.33333333
RAL774,34.85
RAL774,31.23333333
RAL774,31.93333333
RAL774,44.1
RAL774,29.35
RAL774,63.98333333
RAL774,39.48333333
RAL774,41.33333333
RAL774,34.95
RAL774,28.73333333
RAL774,27.2
RAL774,34.88333333
RAL786,63.21666667
RAL786,40.21666667
RAL786,48.01666667
RAL786,36.26666667
RAL786,32.43333333
RAL786,35.55
RAL786,22.6
RAL786,66.41666667
RAL786,51.3
RAL786,45.78333333
RAL786,40.31666667
RAL786,44.05
RAL786,61.05
RAL786,33.2
RAL786,68.75
RAL786,31.6
RAL852,37.11666667
RAL852,86.81666667
RAL852,66.96666667
RAL852,52
RAL852,46.23333333
RAL852,91.43333333
RAL852,79.05
RAL852,54.18333333
RAL852,43.38333333
RAL852,68.41666667
RAL852,46.58333333
RAL852,51.63333333
RAL852,46.56666667
RAL852,52.95
RAL852,43.55
RAL852,46.85
RAL859,69.55
RAL859,62.91666667
RAL859,38.48333333
RAL859,96.71666667
RAL859,52.93333333
RAL859,58.31666667
RAL859,53.78333333
RAL859,68.28333333
RAL859,46.11666667
RAL859,49.41666667
RAL859,40.1
RAL859,45.15
RAL859,93.01666667
RAL859,57.41666667
RAL859,29.78333333
RAL859,78.06666667
RAL365,48.11666667
RAL365,39.26666667
RAL365,30.28333333
RAL365,27.73333333
RAL365,40.88333333
RAL365,29.56666667
RAL365,51.63333333
RAL365,29.78333333
RAL365,54.23333333
RAL365,40.26666667
RAL365,35.4
RAL365,40.28333333
RAL365,36.41666667
RAL365,54.58333333
RAL365,36.13333333
RAL705,22.66666667
RAL705,27.86666667
RAL705,27.46666667
RAL705,34.28333333
RAL705,34.21666667
RAL705,29.88333333
RAL705,28.15
RAL705,30.5
RAL705,22.86666667
RAL705,27.6
RAL705,18.76666667
RAL705,14.81666667
RAL705,32.08333333
RAL705,28.11666667
RAL705,25.83333333
RAL705,19.3
RAL714,27.66666667
RAL714,25.11666667
RAL714,41.21666667
RAL714,24.95
RAL714,33.13333333
RAL714,25.01666667
RAL714,33.1
RAL714,46.4
RAL714,34.3
RAL714,32.83333333
RAL714,24.2
RAL714,41.71666667
RAL714,30.2
RAL714,29.85
RAL714,27.88333333
RAL714,37.18333333
RAL21,34.36666667
RAL21,39.51666667
RAL21,29.46666667
RAL21,39.88333333
RAL21,61.85
RAL21,27.53333333
RAL21,38.53333333
RAL21,28.9
RAL21,26.78333333
RAL21,46.65
RAL21,27.88333333
RAL21,35.73333333
RAL21,38.03333333
RAL21,39.95
RAL21,33.8
RAL26,19.61666667
RAL26,15.46666667
RAL26,38.88333333
RAL26,23.08333333
RAL26,27.9
RAL26,31.21666667
RAL26,22.58333333
RAL26,27.43333333
RAL26,20.98333333
RAL26,31.13333333
RAL26,37.06666667
RAL38,43.3
RAL38,27.93333333
RAL38,54.7
RAL38,48.36666667
RAL38,42.81666667
RAL38,44.33333333
RAL38,37.46666667
RAL38,40.56666667
RAL38,43.8
RAL38,69.3
RAL38,48.56666667
RAL38,45.01666667
RAL38,59.31666667
RAL38,32.78333333
RAL38,45.18333333
RAL38,39.46666667
RAL41,55.98333333
RAL41,61.5
RAL41,60.53333333
RAL41,68.45
RAL41,74.51666667
RAL41,59.05
RAL41,63.7
RAL41,49.88333333
RAL41,49.68333333
RAL41,66.93333333
RAL41,74.01666667
RAL41,55.06666667
RAL41,58.55
RAL41,31.2
RAL41,34.15
RAL41,62.96666667
RAL42,43.16666667
RAL42,41.21666667
RAL42,37.01666667
RAL42,28.76666667
RAL42,45.51666667
RAL42,43.35
RAL42,37.46666667
RAL42,21.46666667
RAL42,31.3
RAL42,31.93333333
RAL42,33.3
RAL42,38.81666667
RAL42,32.68333333
RAL42,32.96666667
RAL42,41.5
RAL42,30.71666667
RAL45,53.55
RAL45,22.4
RAL45,40.65
RAL45,47.65
RAL45,34.6
RAL45,33.95
RAL45,31.83333333
RAL45,41.21666667
RAL45,40.05
RAL45,41.26666667
RAL45,50.48333333
RAL45,31.6
RAL45,47.46666667
RAL45,48.65
RAL45,54.63333333
RAL45,47.48333333
RAL59,28.95
RAL59,22.08333333
RAL59,40.11666667
RAL59,17.58333333
RAL59,44.58333333
RAL59,41.26666667
RAL59,18.43333333
RAL59,25.98333333
RAL59,40.91666667
RAL59,25.96666667
RAL59,17.88333333
RAL59,30.1
RAL59,21
RAL59,18.01666667
RAL59,25.31666667
RAL59,43.28333333
RAL69,30.93333333
RAL69,29.36666667
RAL69,49.28333333
RAL69,21.91666667
RAL69,38.83333333
RAL69,34.1
