Block,Day,Assay,Chamber,Line,Subject,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,SUM,no_move,move,orient_female,approach,wing,genital_lick,attempt_cop,copulate,sum_court,sum_copulate
2,23,4,3,83,6,2,2,2,2,3,6,6,3,6,6,2,1,1,2,2,2,2,1,1,1,1,3,3,2,2,5,2,3,5,3,82,6,12,6,0,2,4,0,0,6,0
2,23,1,2,85,8,2,2,6,2,5,4,2,2,5,5,2,2,2,2,5,5,5,2,4,5,5,5,5,5,2,5,5,5,5,5,116,0,11,0,2,16,1,0,0,17,0
2,26,1,1,85,10,7,2,6,2,2,2,5,6,5,6,5,6,5,5,5,5,5,6,5,6,6,5,6,5,5,5,5,5,5,5,148,0,4,0,0,17,8,1,0,26,1
2,28,4,1,88,12,2,2,2,3,2,6,7,5,7,5,1,7,2,7,6,2,2,2,2,2,1,1,5,7,5,6,1,1,1,1,103,7,10,1,0,4,3,5,0,12,5
2,23,4,6,88,8,5,5,2,4,5,5,2,2,4,4,5,4,5,5,5,5,2,5,6,5,2,2,2,1,4,2,2,1,5,2,108,2,10,0,5,12,1,0,0,13,0
2,24,4,9,88,9,2,2,5,5,6,7,6,7,5,6,5,6,6,6,7,2,2,2,2,4,6,6,5,2,2,5,7,5,7,2,140,0,9,0,1,7,8,5,0,20,5
2,19,4,6,88,4,2,2,2,2,7,6,2,2,6,2,2,2,5,7,2,2,7,2,2,2,5,5,2,2,5,2,7,5,2,7,108,0,18,0,0,5,2,5,0,12,5
2,23,1,1,91,8,2,5,2,5,2,2,2,2,2,2,2,1,2,5,5,2,6,5,2,5,2,5,2,5,2,5,2,5,4,5,98,1,16,0,1,11,1,0,0,12,0
2,19,1,6,93,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,61,1,28,0,1,0,0,0,0,0,0
2,21,4,1,93,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,60,0,30,0,0,0,0,0,0,0,0
2,23,1,4,93,7,6,5,5,6,5,5,6,5,2,5,2,5,2,4,5,5,2,2,2,2,2,2,5,5,5,5,5,5,5,5,125,0,9,0,1,17,3,0,0,20,0
2,25,1,3,93,9,2,2,4,3,3,2,2,2,1,3,5,5,3,3,5,5,3,3,3,5,3,3,6,5,3,6,3,5,3,5,106,1,5,13,1,8,2,0,0,10,0
2,19,4,8,101,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,29,0,0,0,1,0,0,0,1,0
2,24,4,8,109,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,34,26,4,0,0,0,0,0,0,0,0
2,25,2,8,109,7,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,3,2,5,3,5,6,3,6,70,7,16,3,0,2,2,0,0,4,0
2,20,1,5,129,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,29,1,0,0,0,0,0,0,0,0
2,17,1,7,136,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,57,3,27,0,0,0,0,0,0,0,0
2,15,2,8,136,1,2,2,2,2,2,2,5,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,5,55,11,17,0,0,2,0,0,0,2,0
2,20,2,7,138,4,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,26,4,0,0,0,0,0,0,0,0
2,21,3,6,138,5,2,4,5,2,2,2,2,2,2,2,2,4,2,5,4,4,2,2,4,2,5,5,2,4,4,2,7,5,7,2,99,0,16,0,7,5,0,2,0,7,2
2,23,2,2,142,8,2,1,2,1,2,7,5,5,5,3,5,5,5,2,5,4,6,6,5,5,5,5,1,5,5,6,7,2,5,6,128,3,5,1,1,14,4,2,0,20,2
2,16,1,9,149,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,27,1,1,1,0,0,0,0,0,0
2,17,3,3,149,3,2,4,5,6,2,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,5,1,132,2,3,0,2,22,1,0,0,23,0
2,21,4,3,149,6,2,1,2,1,1,2,3,3,2,1,1,1,5,6,5,2,5,4,6,2,5,5,2,6,5,4,4,5,6,1,98,7,7,2,3,7,4,0,0,11,0
2,23,4,5,149,8,5,5,6,5,1,4,2,3,2,3,2,1,2,2,1,3,1,6,1,2,2,2,2,2,2,1,2,1,2,4,77,7,13,3,2,3,2,0,0,5,0
2,22,3,5,149,7,2,2,5,2,5,5,6,6,5,4,2,5,5,6,6,5,5,6,4,7,2,6,7,6,6,6,5,6,7,6,150,0,5,0,2,9,11,3,0,23,3
2,19,4,3,158,5,1,2,2,1,2,2,1,1,2,3,1,1,1,1,3,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,42,20,8,2,0,0,0,0,0,0,0
2,25,3,7,158,8,2,2,2,2,2,2,5,4,2,2,4,2,2,5,5,2,4,5,2,2,2,2,3,4,4,5,4,4,5,1,92,1,15,1,7,6,0,0,0,6,0
2,24,4,5,158,7,2,2,2,2,5,2,3,3,2,4,5,6,5,5,7,5,6,5,5,3,5,5,5,2,2,3,2,3,3,2,111,0,10,6,1,10,2,1,0,13,1
2,21,1,5,158,6,2,2,2,2,1,2,4,2,2,2,1,2,2,2,6,6,5,5,2,4,4,4,2,6,4,3,6,3,3,3,94,2,13,4,5,2,4,0,0,6,0
2,18,1,5,158,4,2,2,2,4,2,2,5,4,2,4,4,2,4,2,2,2,4,5,6,2,4,4,2,4,2,4,4,4,3,5,98,0,13,1,12,3,1,0,0,4,0
2,20,4,9,161,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,32,28,2,0,0,0,0,0,0,0,0
2,25,1,2,161,11,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,5,2,1,51,12,17,0,0,1,0,0,0,1,0
2,22,1,10,161,8,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,56,4,26,0,0,0,0,0,0,0,0
2,23,2,1,161,9,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,3,2,1,2,2,1,2,51,10,19,1,0,0,0,0,0,0,0
2,23,3,6,176,7,5,4,4,7,2,2,2,2,2,1,5,2,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,61,17,7,0,2,3,0,1,0,4,1
2,23,3,1,177,7,2,2,5,5,5,1,2,1,4,2,2,5,2,2,5,2,5,5,5,4,5,2,5,5,4,2,2,2,2,2,97,2,14,0,3,11,0,0,0,11,0
2,25,2,7,181,9,2,2,2,1,2,1,1,1,1,1,1,1,1,4,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,46,16,13,0,1,0,0,0,0,0,0
2,21,3,7,181,6,2,2,2,1,2,5,2,2,5,4,4,2,4,5,5,5,2,2,3,5,2,6,2,3,5,6,5,5,5,5,108,1,11,2,3,11,2,0,0,13,0
2,17,4,7,189,3,4,6,2,1,1,1,1,1,1,1,1,1,1,6,5,5,5,2,2,2,2,1,1,1,1,1,1,1,1,1,60,19,5,0,1,3,2,0,0,5,0
2,15,1,1,189,1,2,2,1,4,5,5,4,2,4,4,5,2,5,5,5,2,2,5,4,5,5,2,2,2,5,5,4,2,2,2,104,1,12,0,6,11,0,0,0,11,0
2,19,3,4,189,5,1,2,1,1,3,2,2,2,3,3,5,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,49,18,7,4,0,1,0,0,0,1,0
1,5,3,1,208,4,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,41,19,11,0,0,0,0,0,0,0,0
1,6,3,3,208,5,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,5,5,55,12,15,1,0,2,0,0,0,2,0
2,19,4,2,217,4,2,2,2,1,2,2,7,5,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,21,5,0,0,2,0,2,0,4,2
2,18,3,6,217,3,2,2,2,2,2,2,2,2,4,5,4,2,2,2,2,2,5,2,2,2,2,2,2,2,6,2,5,2,5,2,80,0,23,0,2,4,1,0,0,5,0
2,23,1,3,217,7,5,2,5,5,2,5,5,2,5,2,5,5,1,5,5,3,2,2,2,5,5,5,5,2,6,5,5,5,2,2,115,1,10,1,0,17,1,0,0,18,0
2,24,1,6,217,8,2,2,2,3,6,3,3,2,5,7,7,7,5,5,5,7,7,2,5,5,5,7,7,7,5,7,5,5,5,5,148,0,5,3,0,12,1,9,0,22,9
2,16,3,2,223,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,34,26,4,0,0,0,0,0,0,0,0
