line,Sex,Lifespan_hrs
RAL-256,Female,108.85
RAL-256,Female,122.15
RAL-256,Female,122.15
RAL-256,Female,122.15
RAL-256,Female,122.15
RAL-256,Female,122.15
RAL-256,Female,122.15
RAL-256,Female,134.175
RAL-256,Female,145.333333
RAL-217,Male,73.1666667
RAL-217,Male,73.1666667
RAL-217,Male,85.15
RAL-217,Male,108.825
RAL-217,Male,108.825
RAL-217,Male,122.133333
RAL-217,Male,122.133333
RAL-217,Male,134.15
RAL-217,Male,134.15
RAL-217,Male,157.341667
RAL-913,Male,108.8
RAL-913,Male,122.108333
RAL-913,Male,122.108333
RAL-913,Male,134.133333
RAL-913,Male,134.133333
RAL-913,Male,134.133333
RAL-913,Male,134.133333
RAL-913,Male,134.133333
RAL-913,Male,134.133333
RAL-913,Male,145.283333
RAL-360,Female,108.808333
RAL-360,Female,122.116667
RAL-360,Female,122.116667
RAL-360,Female,122.116667
RAL-360,Female,134.125
RAL-360,Female,134.125
RAL-360,Female,134.125
RAL-360,Female,134.125
RAL-360,Female,145.275
RAL-360,Female,157.308333
RAL-93,Male,108.816667
RAL-93,Male,108.816667
RAL-93,Male,122.125
RAL-93,Male,122.125
RAL-93,Male,122.125
RAL-93,Male,122.125
RAL-93,Male,122.125
RAL-93,Male,134.133333
RAL-93,Male,134.133333
RAL-93,Male,157.35
RAL-774,Female,108.866667
RAL-774,Female,108.866667
RAL-774,Female,108.866667
RAL-774,Female,122.175
RAL-774,Female,122.175
RAL-774,Female,122.175
RAL-774,Female,122.175
RAL-774,Female,122.175
RAL-774,Female,134.166667
RAL-774,Female,134.166667
RAL-256,Male,73.1916667
RAL-256,Male,85.1833333
RAL-256,Male,85.1833333
RAL-256,Male,85.1833333
RAL-256,Male,96.8583333
RAL-256,Male,96.8583333
RAL-256,Male,108.85
RAL-256,Male,108.85
RAL-256,Male,108.85
RAL-256,Male,134.175
RAL-853,Female,96.8666667
RAL-853,Female,108.85
RAL-853,Female,122.158333
RAL-853,Female,122.158333
RAL-853,Female,134.15
RAL-853,Female,134.15
RAL-853,Female,134.15
RAL-853,Female,134.15
RAL-853,Female,145.308333
RAL-853,Female,157.4
RAL-850,Male,73.2333333
RAL-850,Male,85.225
RAL-850,Male,85.225
RAL-850,Male,85.225
RAL-850,Male,85.225
RAL-850,Male,96.9
RAL-850,Male,96.9
RAL-850,Male,134.208333
RAL-850,Male,145.358333
RAL-850,Male,145.358333
RAL-786,Male,108.883333
RAL-786,Male,108.883333
RAL-786,Male,122.183333
RAL-786,Male,122.183333
RAL-786,Male,134.183333
RAL-786,Male,134.183333
RAL-786,Male,134.183333
RAL-786,Male,134.183333
RAL-786,Male,134.183333
RAL-786,Male,145.341667
RAL-385,Male,108.891667
RAL-385,Male,134.191667
RAL-385,Male,134.191667
RAL-385,Male,134.191667
RAL-385,Male,134.191667
RAL-385,Male,134.191667
RAL-385,Male,145.341667
RAL-385,Male,145.341667
RAL-385,Male,157.458333
RAL-385,Male,157.458333
RAL-229,Male,37.1333333
RAL-229,Male,85.175
RAL-229,Male,85.175
RAL-229,Male,85.175
RAL-229,Male,85.175
RAL-229,Male,96.85
RAL-229,Male,108.833333
RAL-229,Male,108.833333
RAL-229,Male,108.833333
RAL-229,Male,122.141667
RAL-181,Male,37.175
RAL-181,Male,37.175
RAL-181,Male,73.2333333
RAL-181,Male,73.2333333
RAL-181,Male,85.2166667
RAL-181,Male,85.2166667
RAL-181,Male,85.2166667
RAL-181,Male,85.2166667
RAL-181,Male,108.883333
RAL-181,Male,108.883333
RAL-228,Female,73.1
RAL-228,Female,85.0833333
RAL-228,Female,96.7583333
RAL-228,Female,96.7583333
RAL-228,Female,108.75
RAL-228,Female,108.75
RAL-228,Female,108.75
RAL-228,Female,145.225
RAL-228,Female,145.225
RAL-443,Male,85.125
