line,sex,time
227,female,42.48
227,female,10.76
227,female,57.16
227,female,18.54
227,female,68.94
227,female,31.64
227,female,57.32
227,female,11.22
227,female,31.74
227,female,54.29
227,female,32.39
227,female,92.74
228,female,65.17
228,female,40.5
228,female,108.64
228,female,30.32
228,female,22.25
228,female,114.78
228,female,83.92
228,female,19.01
228,female,50.15
228,female,66.73
228,female,6.81
228,female,66.98
228,female,48.51
228,female,29.13
228,female,72.39
228,female,40.19
228,female,67.89
228,female,43.59
228,female,59.73
228,female,20.54
229,female,66.03
229,female,41.59
229,female,32.96
229,female,43.4
229,female,52.63
229,female,87.14
229,female,59.45
229,female,82.98
229,female,70.39
229,female,44.39
229,female,39.28
229,female,43.37
229,female,79.72
229,female,36.31
229,female,24.04
229,female,23.94
229,female,42.06
229,female,37.76
229,female,34.4
229,female,117.28
233,female,8.64
233,female,9.81
233,female,20.58
233,female,57.45
233,female,63.62
233,female,23.13
233,female,28.82
233,female,31.43
233,female,66.31
233,female,111.99
233,female,21.49
233,female,21.15
233,female,33.41
233,female,96.93
233,female,38.65
233,female,32.54
233,female,29.72
233,female,39.4
233,female,33.25
233,female,82.72
235,female,16.12
235,female,80.7
235,female,44.44
235,female,57.83
235,female,34.68
235,female,70.54
235,female,46.86
235,female,88.05
235,female,62.31
235,female,42.06
235,female,17.26
235,female,40.54
235,female,42.47
235,female,29.72
235,female,12.55
235,female,42.77
235,female,28.64
235,female,46.01
235,female,75.31
235,female,51.96
237,female,0
237,female,8.36
237,female,25.05
237,female,7.33
237,female,44.55
237,female,17.33
237,female,93.35
237,female,0
237,female,118.67
237,female,31.6
237,female,21.07
237,female,9.48
237,female,61.82
237,female,111.47
237,female,36.29
237,female,47.29
237,female,18.27
237,female,0
237,female,2.72
237,female,31.96
239,female,40.5
239,female,8.73
239,female,10.54
239,female,22.73
239,female,33.82
239,female,7.01
239,female,22.5
239,female,25.81
239,female,36.16
239,female,18.65
239,female,7.92
239,female,28.44
239,female,11.28
239,female,22.75
239,female,20.01
239,female,22.37
239,female,29.54
239,female,24.2
239,female,0
239,female,20.47
256,female,42.87
256,female,5.12
256,female,17.01
256,female,72.25
256,female,36.66
256,female,36
256,female,0
256,female,0
256,female,47.32
256,female,20.87
256,female,36.17
256,female,12.62
256,female,0
256,female,28.14
256,female,16.35
256,female,23.69
256,female,75.59
256,female,5.93
256,female,0
256,female,21.05
280,female,7.17
280,female,11.86
280,female,0
280,female,74.91
280,female,64.15
280,female,7.81
280,female,9.12
280,female,42.34
280,female,98.13
280,female,68.98
280,female,30.53
280,female,30.85
280,female,60.54
280,female,65.13
280,female,106.18
280,female,83.38
280,female,59.33
280,female,70.79
280,female,12.15
280,female,31.74
287,female,79.83
287,female,20.34
287,female,38.83
287,female,30.21
287,female,72.46
287,female,37.87
287,female,74.55
287,female,76.65
287,female,39.01
287,female,82.08
287,female,49.9
287,female,63.15
287,female,91.75
287,female,36.52
287,female,46.69
287,female,53.45
287,female,52.75
287,female,94.75
287,female,108.07
287,female,49.32
21,female,48.54
