Line,Sex,T1_T2,Expt,Vial,Fly,Femur,Tibia,Tarsus,Total,pc_fe,pc_ti,pc_ta
line_217,F,T2,expt_55,vial_2,fly_2,90.4,102.3,111.1,303.8,29.7564187,33.67346939,36.57011192
line_217,F,T2,expt_55,vial_2,fly_3,89.8,101.9,109.3,301,29.83388704,33.8538206,36.31229236
line_217,F,T2,expt_55,vial_1,fly_3,89,99.8,108.5,297.3,29.93609149,33.56878574,36.49512277
line_217,M,T2,expt_55,vial_4,fly_3,87.8,97.4,112.3,297.5,29.51260504,32.7394958,37.74789916
line_217,M,T2,expt_55,vial_2,fly_1,87.3,97.3,111.5,296.1,29.48328268,32.8605201,37.65619723
line_217,F,T2,expt_55,vial_2,fly_1,87.2,99.1,106.7,293,29.76109215,33.8225256,36.41638225
line_217,F,T2,expt_55,vial_1,fly_2,87.2,99.5,105.7,292.4,29.82216142,34.02872777,36.14911081
line_217,M,T2,expt_55,vial_3,fly_3,86.7,95.8,112,294.5,29.43972835,32.52971138,38.03056027
line_217,M,T2,expt_55,vial_3,fly_1,86.1,98.8,111.6,296.5,29.03878584,33.32209106,37.6391231
line_217,M,T2,expt_55,vial_1,fly_2,84.4,95.2,108.1,287.7,29.33611401,33.09002433,37.57386166
line_217,M,T2,expt_55,vial_2,fly_3,82.8,95.5,114.2,292.5,28.30769231,32.64957265,39.04273504
line_217,M,T2,expt_55,vial_1,fly_3,82.6,94,107.1,283.7,29.1152626,33.13359182,37.75114558
line_217,M,T2,expt_55,vial_2,fly_2,82,96.7,108.5,287.2,28.55153203,33.66991644,37.77855153
line_217,M,T2,expt_55,vial_1,fly_1,80.6,92,108.5,281.1,28.67307008,32.72856635,38.59836357
line_227,F,T2,expt_45,vial_4,fly_3,95.7,108.6,117,321.3,29.78524743,33.80018674,36.41456583
line_227,F,T2,expt_45,vial_1,fly_2,95.8,108.3,114.8,318.9,30.04076513,33.96048918,35.99874569
line_227,F,T2,expt_45,vial_4,fly_2,96,107.1,112.4,315.5,30.42789224,33.94611727,35.62599049
line_227,F,T2,expt_45,vial_3,fly_1,95,107,112.3,314.3,30.22589882,34.0439071,35.73019408
line_227,F,T2,expt_45,vial_4,fly_1,94.2,108.2,114.5,316.9,29.72546545,34.14326286,36.1312717
line_227,F,T2,expt_45,vial_2,fly_2,94.2,104.9,109.3,308.4,30.54474708,34.01426719,35.44098573
line_227,F,T2,expt_45,vial_1,fly_1,93.7,105,111.3,310,30.22580645,33.87096774,35.90322581
line_227,M,T2,expt_45,vial_3,fly_2,93.3,105.6,115.8,314.7,29.64728313,33.5557674,36.79694948
line_227,F,T2,expt_45,vial_1,fly_3,92.9,105.9,112.3,311.1,29.86178078,34.04050145,36.09771778
line_227,M,T2,expt_45,vial_1,fly_2,92.8,104,114.6,311.4,29.80089917,33.39755941,36.80154143
line_227,F,T2,expt_45,vial_2,fly_1,92.2,104,109.9,306.1,30.12087553,33.97582489,35.90329958
line_227,F,T2,expt_45,vial_3,fly_3,91.8,103.7,112.3,307.8,29.8245614,33.69070825,36.48473034
line_227,F,T2,expt_45,vial_2,fly_3,91.4,105.1,110.7,307.2,29.75260417,34.21223958,36.03515625
line_227,M,T2,expt_45,vial_3,fly_1,91.4,101.7,109.3,302.4,30.22486773,33.63095238,36.14417989
line_227,M,T2,expt_45,vial_3,fly_3,91.2,103.8,113.3,308.3,29.58157639,33.6685047,36.74991891
line_227,F,T2,expt_45,vial_3,fly_2,89.5,98.5,104.5,292.5,30.5982906,33.67521368,35.72649573
line_227,M,T2,expt_45,vial_1,fly_1,89.4,101.9,112.3,303.6,29.44664032,33.56389987,36.98945982
line_227,M,T2,expt_45,vial_1,fly_3,89,100.5,108.3,297.8,29.88582942,33.74748153,36.36668905
line_227,M,T2,expt_45,vial_4,fly_1,88.7,101,112.1,301.8,29.39032472,33.46587144,37.14380384
line_227,M,T2,expt_45,vial_2,fly_1,88.5,100.5,110.8,299.8,29.51967979,33.52234823,36.95797198
line_227,M,T2,expt_45,vial_2,fly_2,86.9,99.4,109.3,295.6,29.39783491,33.62652233,36.97564276
line_227,M,T2,expt_45,vial_4,fly_3,86.3,97.1,106.1,289.5,29.81001727,33.54058722,36.64939551
line_227,M,T2,expt_45,vial_2,fly_3,86.1,99.1,108.6,293.8,29.3056501,33.73042886,36.96392104
line_227,M,T2,expt_45,vial_4,fly_2,85.5,95.2,106.8,287.5,29.73913044,33.11304348,37.14782609
line_228,F,T2,expt_55,vial_3,fly_3,97.2,108.2,118.5,323.9,30.00926212,33.40537203,36.58536585
line_228,F,T2,expt_55,vial_4,fly_2,97.3,110.1,120.4,327.8,29.68273337,33.58755339,36.72971324
line_228,F,T2,expt_55,vial_3,fly_2,98.5,111,118.7,328.2,30.01218769,33.82084095,36.16697136
line_228,F,T2,expt_55,vial_2,fly_1,96.1,108.6,115.6,320.3,30.00312207,33.90571339,36.09116453
line_228,F,T2,expt_55,vial_4,fly_3,95.8,109.1,117.5,322.4,29.7146402,33.83995037,36.44540943
line_228,F,T2,expt_55,vial_4,fly_1,95.8,110.8,116.5,323.1,29.65026308,34.29278861,36.05694831
line_228,F,T2,expt_55,vial_1,fly_3,95.2,105.2,115.7,316.1,30.11705157,33.2806074,36.60234103
line_228,F,T2,expt_55,vial_2,fly_2,94.6,108.7,119.6,322.9,29.29699597,33.66367296,37.03933106
line_228,F,T2,expt_55,vial_2,fly_3,94.2,107.9,118.1,320.2,29.41911305,33.69768894,36.883198
line_228,F,T2,expt_55,vial_1,fly_2,94.2,108.7,116.4,319.3,29.5020357,34.04321954,36.45474475
line_228,F,T2,expt_55,vial_3,fly_1,93.6,104.3,118,315.9,29.62962963,33.01677746,37.35359291
line_228,M,T2,expt_55,vial_4,fly_1,93.6,105.6,119.3,318.5,29.3877551,33.15541601,37.45682889
line_228,M,T2,expt_55,vial_3,fly_2,91.7,102.7,118.4,312.8,29.31585678,32.83248082,37.8516624
line_228,M,T2,expt_55,vial_4,fly_2,91.6,104,115.2,310.8,29.47232947,33.46203346,37.06563707
line_228,M,T2,expt_55,vial_1,fly_2,91.1,103.2,118.6,312.9,29.11473314,32.98178332,37.90348354
line_228,M,T2,expt_55,vial_4,fly_3,90.5,101.7,113.9,306.1,29.56550147,33.22443646,37.21006207
line_228,M,T2,expt_55,vial_1,fly_3,90.2,101.7,118.4,310.3,29.06864325,32.77473413,38.15662262
line_228,M,T2,expt_55,vial_2,fly_1,89.9,101,115.8,306.7,29.3120313,32.93120313,37.75676557
line_228,F,T2,expt_55,vial_1,fly_1,89.7,101.2,109.8,300.7,29.83039574,33.65480545,36.5147988
line_228,M,T2,expt_55,vial_1,fly_1,88.7,100.4,112.9,302,29.37086093,33.24503311,37.38410596
line_228,M,T2,expt_55,vial_2,fly_3,87.9,101.5,116,305.4,28.78192534,33.23510151,37.98297315
line_228,M,T2,expt_55,vial_3,fly_3,87.7,100,112.5,300.2,29.21385743,33.31112592,37.47501666
line_228,M,T2,expt_55,vial_3,fly_1,87.6,101.2,113.4,302.2,28.98742555,33.48775645,37.524818
line_228,M,T2,expt_55,vial_2,fly_2,86.7,99.7,113.4,299.8,28.91927952,33.25550367,37.82521681
line_229,F,T2,expt_45,vial_2,fly_1,97.8,108.8,118.4,325,30.09230769,33.47692308,36.43076923
line_229,F,T2,expt_45,vial_1,fly_3,97.9,110.1,124.6,332.6,29.43475646,33.10282622,37.46241732
line_229,F,T2,expt_45,vial_4,fly_2,98.3,110.6,120.9,329.8,29.805943,33.53547605,36.65858096
line_229,F,T2,expt_45,vial_4,fly_3,96.3,108.1,120.2,324.6,29.66728281,33.30252619,37.030191
line_229,F,T2,expt_45,vial_4,fly_1,95.9,107.5,119,322.4,29.74565757,33.34367246,36.91066998
line_229,M,T2,expt_45,vial_3,fly_3,95.9,108.1,120.1,324.1,29.58963283,33.35390312,37.05646405
