DGRP_lines,Experiment,Sample.size,Delta_Death.at.48h,Delta_Alive.at.48h
line_714,Exp 5,18,8,10
line_712,Exp 5,,,
line_707,Exp 5,16,16,0
line_705,Exp 5,16,5,11
line_703,Exp 5,20,19,1
line_646,Exp 5,,,
line_642,Exp 5,,,
line_639,Exp 5,19,15,4
line_634,Exp 5,13,1,12
line_630,Exp 5,20,2,18
line_627,Exp 5,20,19,1
line_596,Exp 5,,,
line_595,Exp 5,17,16,1
line_589,Exp 5,16,1,15
line_584,Exp 5,20,13,7
line_566,Exp 5,19,19,0
line_563,Exp 5,20,20,0
line_559,Exp 5,20,15,5
line_555,Exp 5,19,19,0
line_551,Exp 5,21,17,4
line_535,Exp 5,20,13,7
line_531,Exp 5,,,
line_530,Exp 5,19,18,1
line_528,Exp 5,15,15,0
line_517,Exp 5,20,20,0
line_513,Exp 5,,,
line_509,Exp 5,13,12,1
line_508,Exp 5,,,
line_505,Exp 5,20,19,1
line_502,Exp 5,14,14,0
line_492,Exp 5,16,16,0
line_491,Exp 5,20,0,20
line_486,Exp 5,10,10,0
line_461,Exp 5,20,20,0
line_443,Exp 5,20,11,9
line_441,Exp 5,,,
line_440,Exp 5,20,20,0
line_439,Exp 5,20,20,0
line_437,Exp 5,,,
line_427,Exp 5,16,16,0
line_426,Exp 5,13,13,0
line_409,Exp 5,20,20,0
line_406,Exp 5,20,20,0
line_405,Exp 5,20,20,0
line_399,Exp 5,18,18,0
line_397,Exp 5,17,17,0
line_395,Exp 5,18,18,0
line_392,Exp 5,18,17,1
line_391,Exp 5,20,20,0
line_390,Exp 5,21,2,19
line_386,Exp 5,20,16,4
line_385,Exp 5,20,20,0
line_383,Exp 5,20,19,1
line_382,Exp 5,20,12,8
line_381,Exp 5,19,19,0
line_380,Exp 5,19,19,0
line_379,Exp 5,19,17,2
line_377,Exp 5,14,14,0
line_375,Exp 5,,,
line_374,Exp 5,20,20,0
line_373,Exp 5,18,14,4
line_371,Exp 5,18,14,4
line_370,Exp 5,17,17,0
line_367,Exp 5,20,20,0
line_365,Exp 5,20,7,13
line_362,Exp 5,20,19,1
line_361,Exp 5,19,18,1
line_360,Exp 5,20,19,1
line_359,Exp 5,20,20,0
line_358,Exp 5,20,19,1
line_357,Exp 5,21,20,1
line_356,Exp 5,19,19,0
line_355,Exp 5,15,15,0
line_354,Exp 5,19,19,0
line_352,Exp 5,20,12,8
line_350,Exp 5,10,2,8
line_348,Exp 5,21,21,0
line_340,Exp 5,17,15,2
line_338,Exp 5,21,21,0
line_336,Exp 5,19,19,0
line_335,Exp 5,18,18,0
line_332,Exp 5,20,17,3
line_324,Exp 5,16,16,0
line_321,Exp 5,,,
line_320,Exp 5,20,7,13
line_319,Exp 5,18,18,0
line_318,Exp 5,13,13,0
line_317,Exp 5,16,10,6
line_315,Exp 5,13,13,0
line_313,Exp 5,17,0,17
line_310,Exp 5,18,17,1
line_309,Exp 5,18,17,1
line_307,Exp 5,7,7,0
line_306,Exp 5,18,0,18
line_304,Exp 5,19,19,0
line_303,Exp 5,20,20,0
line_301,Exp 5,21,19,2
line_287,Exp 5,18,18,0
line_280,Exp 5,19,19,0
line_256,Exp 5,19,13,6
line_239,Exp 5,20,20,0
line_237,Exp 5,18,17,1
line_235,Exp 5,20,19,1
line_233,Exp 5,7,7,0
line_229,Exp 5,20,20,0
line_228,Exp 5,20,14,6
line_227,Exp 5,11,11,0
line_223,Exp 5,11,10,1
line_217,Exp 5,20,20,0
line_208,Exp 5,19,4,15
line_195,Exp 5,19,19,0
line_189,Exp 5,19,15,4
line_181,Exp 5,,,
line_177,Exp 5,12,12,0
line_176,Exp 5,20,20,0
line_161,Exp 5,19,19,0
line_158,Exp 5,19,5,14
line_153,Exp 5,20,20,0
line_149,Exp 5,18,14,4
line_142,Exp 5,19,19,0
line_138,Exp 5,14,4,10
line_136,Exp 5,20,20,0
line_129,Exp 5,20,20,0
line_109,Exp 5,19,13,6
line_105,Exp 5,20,20,0
line_101,Exp 5,18,18,0
line_100,Exp 5,18,16,2
line_93,Exp 5,20,20,0
line_91,Exp 5,21,21,0
line_88,Exp 5,20,20,0
line_85,Exp 5,13,12,1
line_83,Exp 5,17,6,11
line_75,Exp 5,20,20,0
line_73,Exp 5,16,16,0
line_69,Exp 5,17,17,0
line_59,Exp 5,18,18,0
line_57,Exp 5,18,16,2
line_48,Exp 5,11,11,0
line_45,Exp 5,19,19,0
line_42,Exp 5,14,14,0
line_41,Exp 5,18,18,0
line_40,Exp 5,17,11,6
line_38,Exp 5,9,9,0
line_32,Exp 5,20,20,0
line_31,Exp 5,20,20,0
line_28,Exp 5,,,
line_26,Exp 5,14,14,0
line_21,Exp 5,18,18,0
