DGRP_lines,Experiment,Sample.size,Delta_Death.at.48h,Delta_Alive.at.48h
line_138,Exp 1,12,1,11
line_136,Exp 1,13,11,2
line_129,Exp 1,20,20,0
line_109,Exp 1,10,10,0
line_105,Exp 1,17,17,0
line_101,Exp 1,19,19,0
line_100,Exp 1,19,19,0
line_93,Exp 1,19,19,0
line_91,Exp 1,20,20,0
line_88,Exp 1,10,10,0
line_85,Exp 1,13,12,1
line_83,Exp 1,14,9,5
line_75,Exp 1,19,19,0
line_73,Exp 1,20,13,7
line_69,Exp 1,5,5,0
line_59,Exp 1,9,9,0
line_57,Exp 1,18,18,0
line_48,Exp 1,13,13,0
line_45,Exp 1,19,18,1
line_42,Exp 1,13,13,0
line_41,Exp 1,17,17,0
line_40,Exp 1,6,4,2
line_38,Exp 1,7,5,2
line_32,Exp 1,20,20,0
line_31,Exp 1,14,14,0
line_28,Exp 1,,,
line_26,Exp 1,14,14,0
line_21,Exp 1,17,17,0
line_913,Exp 2,19,0,19
line_911,Exp 2,19,17,2
line_908,Exp 2,20,20,0
line_907,Exp 2,20,0,20
line_900,Exp 2,20,20,0
line_897,Exp 2,17,2,15
line_894,Exp 2,20,20,0
line_892,Exp 2,20,20,0
line_890,Exp 2,20,19,1
line_887,Exp 2,20,20,0
line_884,Exp 2,19,13,6
line_882,Exp 2,20,6,14
line_879,Exp 2,20,0,20
line_861,Exp 2,20,20,0
line_859,Exp 2,20,14,6
line_857,Exp 2,20,16,4
line_855,Exp 2,20,12,8
line_853,Exp 2,19,16,3
line_852,Exp 2,,,
line_850,Exp 2,21,21,0
line_849,Exp 2,20,0,20
line_843,Exp 2,20,5,15
line_837,Exp 2,20,9,11
line_832,Exp 2,20,13,7
line_822,Exp 2,18,16,2
line_821,Exp 2,20,15,5
line_820,Exp 2,20,19,1
line_819,Exp 2,20,19,1
line_818,Exp 2,20,20,0
line_812,Exp 2,18,18,0
line_810,Exp 2,17,3,14
line_808,Exp 2,20,12,8
line_805,Exp 2,16,16,0
line_804,Exp 2,20,20,0
line_802,Exp 2,20,19,1
line_801,Exp 2,20,20,0
line_799,Exp 2,17,16,1
line_796,Exp 2,19,0,19
line_790,Exp 2,20,0,20
line_787,Exp 2,19,12,7
line_786,Exp 2,20,7,13
line_783,Exp 2,20,20,0
line_776,Exp 2,19,8,11
line_774,Exp 2,19,14,5
line_765,Exp 2,20,20,0
line_761,Exp 2,19,19,0
line_757,Exp 2,20,3,17
line_748,Exp 2,20,16,4
line_738,Exp 2,19,19,0
line_737,Exp 2,20,17,3
line_732,Exp 2,20,20,0
line_730,Exp 2,20,0,20
line_727,Exp 2,20,20,0
line_721,Exp 2,20,20,0
line_716,Exp 2,18,18,0
line_714,Exp 2,21,12,9
line_712,Exp 2,20,0,20
line_707,Exp 2,18,5,13
line_705,Exp 2,19,5,14
line_703,Exp 2,20,20,0
line_646,Exp 2,,,
line_642,Exp 2,20,5,15
line_639,Exp 2,20,0,20
line_634,Exp 2,19,0,19
line_630,Exp 2,14,1,13
line_627,Exp 2,20,16,4
line_596,Exp 2,,,
line_595,Exp 2,15,15,0
line_589,Exp 2,20,0,20
line_584,Exp 2,20,11,9
line_566,Exp 2,19,19,0
line_563,Exp 2,19,11,8
line_559,Exp 2,20,10,10
line_555,Exp 2,19,19,0
line_551,Exp 2,20,8,12
line_535,Exp 2,20,7,13
line_531,Exp 2,,,
line_530,Exp 2,18,7,11
line_528,Exp 2,20,20,0
line_517,Exp 2,20,20,0
line_513,Exp 2,,,
line_509,Exp 2,20,16,4
line_508,Exp 2,20,7,13
line_505,Exp 2,19,16,3
line_502,Exp 2,18,18,0
line_492,Exp 2,20,20,0
line_491,Exp 2,20,0,20
line_486,Exp 2,20,20,0
line_461,Exp 2,20,20,0
line_443,Exp 2,19,4,15
line_441,Exp 2,19,19,0
line_440,Exp 2,20,20,0
line_439,Exp 2,20,20,0
line_437,Exp 2,,,
line_427,Exp 2,18,18,0
line_426,Exp 2,20,20,0
line_409,Exp 2,10,10,0
line_406,Exp 2,18,18,0
line_405,Exp 2,20,15,5
line_399,Exp 2,20,20,0
line_397,Exp 2,20,19,1
line_395,Exp 2,20,20,0
line_392,Exp 2,19,16,3
line_391,Exp 2,19,19,0
line_390,Exp 2,20,4,16
line_386,Exp 2,20,14,6
line_385,Exp 2,20,20,0
line_383,Exp 2,20,20,0
line_382,Exp 2,20,4,16
line_381,Exp 2,20,20,0
line_380,Exp 2,22,22,0
line_379,Exp 2,20,19,1
line_377,Exp 2,20,20,0
line_375,Exp 2,,,
line_374,Exp 2,20,20,0
line_373,Exp 2,18,12,6
line_371,Exp 2,19,9,10
line_370,Exp 2,20,20,0
line_367,Exp 2,18,18,0
line_365,Exp 2,20,3,17
line_362,Exp 2,19,14,5
line_361,Exp 2,20,20,0
line_360,Exp 2,20,18,2
line_359,Exp 2,20,20,0
line_358,Exp 2,18,16,2
line_357,Exp 2,20,20,0
line_356,Exp 2,19,19,0
line_355,Exp 2,20,20,0
line_354,Exp 2,20,20,0
line_352,Exp 2,16,2,14
line_350,Exp 2,20,9,11
line_348,Exp 2,19,19,0
line_340,Exp 2,20,20,0
line_338,Exp 2,20,20,0
line_336,Exp 2,20,20,0
line_335,Exp 2,19,17,2
line_332,Exp 2,20,16,4
line_324,Exp 2,20,20,0
line_321,Exp 2,18,7,11
line_320,Exp 2,20,1,19
line_319,Exp 2,19,19,0
line_318,Exp 2,19,19,0
line_317,Exp 2,19,11,8
line_315,Exp 2,20,20,0
line_313,Exp 2,20,1,19
line_310,Exp 2,14,13,1
line_309,Exp 2,20,20,0
line_307,Exp 2,19,13,6
line_306,Exp 2,20,2,18
line_304,Exp 2,20,20,0
line_303,Exp 2,20,20,0
line_301,Exp 2,19,16,3
line_287,Exp 2,20,17,3
line_280,Exp 2,20,20,0
line_256,Exp 2,20,16,4
line_239,Exp 2,20,20,0
line_237,Exp 2,20,20,0
line_235,Exp 2,20,13,7
line_233,Exp 2,20,20,0
line_229,Exp 2,20,18,2
line_228,Exp 2,21,17,4
line_227,Exp 2,19,19,0
line_223,Exp 2,13,11,2
line_217,Exp 2,1,1,0
line_208,Exp 2,20,7,13
line_195,Exp 2,20,20,0
line_189,Exp 2,20,18,2
line_181,Exp 2,19,19,0
line_177,Exp 2,20,20,0
line_176,Exp 2,18,18,0
line_161,Exp 2,19,19,0
line_158,Exp 2,20,14,6
line_153,Exp 2,20,18,2
line_149,Exp 2,20,6,14
line_142,Exp 2,19,18,1
line_138,Exp 2,20,2,18
line_136,Exp 2,20,19,1
line_129,Exp 2,19,19,0
line_109,Exp 2,20,10,10
line_105,Exp 2,19,19,0
line_101,Exp 2,20,20,0
